,V(m/s),alpha(deg),beta(deg),p(deg/s),q(deg/s),r(deg/s),phi(deg),theta(deg),elevator(deg),aileron(deg),rudder(deg),gamma(deg),pb,qc,rb,CD_act,CL_act,Cm_act,CY_act,Cr_act,Cn_act
1.0,11.079446807284521,4.198175033582978,0.0,0.0,-2.368602856716337e-09,0.0,0.0,3.885171649936982,-10.6171577047,0.0,0.0,0.313003383645996,0.0,-7.3648413890329326e-09,0.0,0.04915451995420568,-0.003608108340340678,0.15366523424461803,0.0,0.0,0.0
2.0,11.079445328408934,4.198175035632146,0.0,0.0,-4.991283005240166e-09,0.0,0.0,3.885171646278102,-10.6171577047,0.0,0.0,0.31300338935404426,0.0,-1.551970287624648e-08,0.0,0.049154519974876645,-0.0036081085275126087,0.15366523485971864,0.0,0.0,0.0
3.0,11.079443861190448,4.198175034897794,0.0,0.0,-7.865380494416232e-09,0.0,0.0,3.8851716398706104,-10.6171577047,0.0,0.0,0.31300339502718355,0.0,-2.4456314001624015e-08,0.0,0.04915451998406431,-0.0036081087711216653,0.15366523545991115,0.0,0.0,0.0
4.0,11.079442405547951,4.198175031133025,0.0,0.0,-1.0988225288171583e-08,0.0,0.0,3.885171630464425,-10.6171577047,0.0,0.0,0.3130034006686002,0.0,-3.416637293840326e-08,0.0,0.04915451998064145,-0.0036081090741396857,0.15366523603850052,0.0,0.0,0.0
5.0,11.079440961401978,4.198175024093763,0.0,0.0,-1.4357137257694023e-08,0.0,0.0,3.885171617812137,-10.6171577047,0.0,0.0,0.31300340628162626,0.0,-4.4641546468872796e-08,0.0,0.049154519963493556,-0.00360810943950126,0.15366523658885942,0.0,0.0,0.0
6.0,11.079439528674692,4.198175013538762,0.0,0.0,-1.7969426181487298e-08,0.0,0.0,3.8851716016690245,-10.6171577047,0.0,0.0,0.31300341186973757,0.0,-5.5873469984657875e-08,0.0,0.04915451993151884,-0.003608109870103633,0.1536652371044285,0.0,0.0,0.0
7.0,11.079438107289857,4.198174999229613,0.0,0.0,-2.1822391749608188e-08,0.0,0.0,3.885171581793059,-10.6171577047,0.0,0.0,0.31300341743655347,0.0,-6.785374750000706e-08,0.0,0.04915451988362833,-0.0036081103688065247,0.15366523757871664,0.0,0.0,0.0
8.0,11.079436697172815,4.198174980930751,0.0,0.0,-2.5913323571893262e-08,0.0,0.0,3.885171557944919,-10.6171577047,0.0,0.0,0.31300342298583184,0.0,-8.057395167748199e-08,0.0,0.049154519818745815,-0.0036081109384320867,0.15366523800530096,0.0,0.0,0.0
9.0,11.079435298250461,4.198174958409467,0.0,0.0,-3.023950119455565e-08,0.0,0.0,3.8851715298879967,-10.6171577047,0.0,0.0,0.31300342852147045,0.0,-9.402562387967044e-08,0.0,0.049154519735808,-0.003608111581764807,0.15366523837782728,0.0,0.0,0.0
10.0,11.079433910451222,4.198174931435915,0.0,0.0,-3.4798194120292735e-08,0.0,0.0,3.8851714973884115,-10.6171577047,0.0,0.0,0.3130034340475034,0.0,-1.0820027423181429e-07,0.0,0.04915451963376441,-0.003608112301551357,0.1536652386900102,0.0,0.0,0.0
11.0,11.07943253370503,4.198174899783116,0.0,0.0,-3.9586661835492034e-08,0.0,0.0,3.885171460215017,-10.6171577047,0.0,0.0,0.3130034395680994,0.0,-1.2308938170650614e-07,0.0,0.049154519511577545,-0.0036081131005005485,0.15366523893563327,0.0,0.0,0.0
12.0,11.079431167943296,4.198174863226973,0.0,0.0,-4.4602153841209474e-08,0.0,0.0,3.885171418139413,-10.6171577047,0.0,0.0,0.3130034450875603,0.0,-1.3868439422011403e-07,0.0,0.04915451936822285,-0.003608113981283148,0.1536652391085493,0.0,0.0,0.0
13.0,11.079429813098898,4.198174821546274,0.0,0.0,-4.984190969202522e-08,0.0,0.0,3.8851713709359545,-10.6171577047,0.0,0.0,0.31300345061031987,0.0,-1.5497672875369856e-07,0.0,0.04915451920268877,-0.0036081149465318485,0.1536652392026805,0.0,0.0,0.0
14.0,11.079428469106142,4.198174774522702,0.0,0.0,-5.5303159036405996e-08,0.0,0.0,3.8851713183817624,-10.6171577047,0.0,0.0,0.3130034561409394,0.0,-1.7195777147861242e-07,0.0,0.0491545190139768,-0.0036081159988411438,0.15366523921201866,0.0,0.0,0.0
15.0,11.079427135900751,4.198174721940841,0.0,0.0,-6.098312166592436e-08,0.0,0.0,3.885171260256732,-10.6171577047,0.0,0.0,0.3130034616841093,0.0,-1.8961887790963798e-07,0.0,0.04915451880110148,-0.003608117140767239,0.1536652391306255,0.0,0.0,0.0
16.0,11.079425813419837,4.19817466358819,0.0,0.0,-6.687900756958943e-08,0.0,0.0,3.8851711963435442,-10.6171577047,0.0,0.0,0.31300346724464534,0.0,-2.079513730740164e-07,0.0,0.049154518563090485,-0.0036081183748279053,0.15366523895263273,0.0,0.0,0.0
17.0,11.07942450160188,4.198174599255161,0.0,0.0,-7.298801699024442e-08,0.0,0.0,3.885171126427675,-10.6171577047,0.0,0.0,0.31300347282748575,0.0,-2.2694655168690207e-07,0.0,0.04915451829898462,-0.0036081197035024506,0.1536652386722423,0.0,0.0,0.0
18.0,11.079423200386701,4.198174528735097,0.0,0.0,-7.930734049048169e-08,0.0,0.0,3.885171050297405,-10.6171577047,0.0,0.0,0.3130034784376923,0.0,-2.46595678356409e-07,0.0,0.049154518007837905,-0.0036081211292315757,0.1536652382837267,0.0,0.0,0.0
19.0,11.079421909715448,4.198174451824274,0.0,0.0,-8.583415901995977e-08,0.0,0.0,3.8851709677438286,-10.6171577047,0.0,0.0,0.3130034840804452,0.0,-2.6688998779301457e-07,0.0,0.049154517688717515,-0.0036081226544173103,0.15366523778142893,0.0,0.0,0.0
20.0,11.079420629530564,4.198174368321907,0.0,0.0,-9.256564399076654e-08,0.0,0.0,3.8851708785608645,-10.6171577047,0.0,0.0,0.31300348976104253,0.0,-2.878206850439815e-07,0.0,0.04915451734070391,-0.003608124281422896,0.1536652371597631,0.0,0.0,0.0
21.0,11.07941935977577,4.198174278030164,0.0,0.0,-9.949895735571489e-08,0.0,0.0,3.885170782545264,-10.6171577047,0.0,0.0,0.3130034954848999,0.0,-3.0937894573689555e-07,0.0,0.04915451696289086,-0.003608126012572703,0.15366523641321417,0.0,0.0,0.0
22.0,11.079418100396044,4.198174180754169,0.0,0.0,-1.066312516949805e-07,0.0,0.0,3.8851706794966225,-10.6171577047,0.0,0.0,0.3130035012575463,0.0,-3.3155591634914184e-07,0.0,0.04915451655438541,-0.003608127850152132,0.15366523553633854,0.0,0.0,0.0
23.0,11.079416851337596,4.19817407630201,0.0,0.0,-1.1395967030251114e-07,0.0,0.0,3.885170569217386,-10.6171577047,0.0,0.0,0.31300350708462377,0.0,-3.5434271447666867e-07,0.0,0.04915451611430799,-0.0036081297964075387,0.15366523452376407,0.0,0.0,0.0
24.0,11.079415612547848,4.198173964484746,0.0,0.0,-1.2148134728240999e-07,0.0,0.0,3.8851704515128627,-10.6171577047,0.0,0.0,0.31300351297188334,0.0,-3.777304291337641e-07,0.0,0.04915451564179239,-0.003608131853546165,0.15366523337019022,0.0,0.0,0.0
25.0,11.079414383975413,4.198173845116417,0.0,0.0,-1.2919340764729295e-07,0.0,0.0,3.8851703261912305,-10.6171577047,0.0,0.0,0.3130035189251861,0.0,-4.0171012105896866e-07,0.0,0.04915451513598586,-0.0036081340237359913,0.15366523207038846,0.0,0.0,0.0
26.0,11.07941316557007,4.198173718014046,0.0,0.0,-1.3709296742274722e-07,0.0,0.0,3.8851701930635474,-10.6171577047,0.0,0.0,0.31300352495049877,0.0,-4.262728230399589e-07,0.0,0.04915451459604908,-0.003608136309105718,0.1536652306192023,0.0,0.0,0.0
27.0,11.079411957282746,4.1981735829976525,0.0,0.0,-1.4517713375706882e-07,0.0,0.0,3.88517005194376,-10.6171577047,0.0,0.0,0.31300353105389256,0.0,-4.5140954025484364e-07,0.0,0.0491545140211562,-0.003608138711744681,0.1536652290115475,0.0,0.0,0.0
