,V(m/s),alpha(deg),beta(deg),p(deg/s),q(deg/s),r(deg/s),phi(deg),theta(deg)
36.0,13.925550078076625,0.5950115669803525,0.0,0.0,7.917863250202008e-07,0.0,0.0,1.0415146676603608
37.0,13.92554883911932,0.5950122755502427,0.0,0.0,8.117894187223137e-07,0.0,0.0,1.0415154694573385
38.0,13.925547607270559,0.5950130035124916,0.0,0.0,8.316831616389746e-07,0.0,0.0,1.041516291202748
39.0,13.925546382466349,0.5950137507448635,0.0,0.0,8.514673894134791e-07,0.0,0.0,1.0415171327871566
40.0,13.925545164643221,0.5950145171250409,0.0,0.0,8.711419352020892e-07,0.0,0.0,1.041517994100966
41.0,13.925543953738229,0.595015302530622,0.0,0.0,8.907066297173818e-07,0.0,0.0,1.0415188750344098
42.0,13.925542749688942,0.595016106839118,0.0,0.0,9.101613012722328e-07,0.0,0.0,1.0415197754775511
43.0,13.925541552433446,0.5950169299279515,0.0,0.0,9.295057758231757e-07,0.0,0.0,1.04152069532028
44.0,13.925540361910338,0.5950177716744536,0.0,0.0,9.487398770144118e-07,0.0,0.0,1.0415216344523117
45.0,13.92553917805872,0.5950186319558619,0.0,0.0,9.678634262203626e-07,0.0,0.0,1.0415225927631835
46.0,13.925538000818205,0.5950195106493185,0.0,0.0,9.86876242589661e-07,0.0,0.0,1.0415235701422532
47.0,13.925536830128904,0.5950204076318675,0.0,0.0,1.005778143087795e-06,0.0,0.0,1.0415245664786967
48.0,13.925535665931424,0.5950213227804532,0.0,0.0,1.0245689425406142e-06,0.0,0.0,1.0415255816615057
49.0,13.925534508166875,0.5950222559719179,0.0,0.0,1.0432484536769952e-06,0.0,0.0,1.0415266155794856
50.0,13.925533356776853,0.5950232070830002,0.0,0.0,1.0618164871718115e-06,0.0,0.0,1.0415276681212537
51.0,13.92553221170345,0.5950241759903324,0.0,0.0,1.0802728516887586e-06,0.0,0.0,1.041528739175237
52.0,13.92553107288924,0.5950251625704396,0.0,0.0,1.098617353922832e-06,0.0,0.0,1.0415298286296697
53.0,13.925529940277285,0.5950261666997367,0.0,0.0,1.1168497986435185e-06,0.0,0.0,1.0415309363725922
54.0,13.925528813811123,0.5950271882545275,0.0,0.0,1.1349699887364476e-06,0.0,0.0,1.0415320622918487
55.0,13.925527693434775,0.5950282271110023,0.0,0.0,1.1529777252462477e-06,0.0,0.0,1.041533206275085
56.0,13.925526579092734,0.5950292831452366,0.0,0.0,1.1708728074187962e-06,0.0,0.0,1.0415343682097478
57.0,13.925525470729967,0.5950303562331891,0.0,0.0,1.1886550327433867e-06,0.0,0.0,1.041535547983081
58.0,13.92552436829191,0.5950314462507003,0.0,0.0,1.2063241969948227e-06,0.0,0.0,1.0415367454821263
59.0,13.925523271724465,0.5950325530734905,0.0,0.0,1.223880094275552e-06,0.0,0.0,1.0415379605937194
60.0,13.925522180973998,0.5950336765771588,0.0,0.0,1.2413225170569595e-06,0.0,0.0,1.04153919320449
61.0,13.925521095987335,0.5950348166371812,0.0,0.0,1.2586512562221743e-06,0.0,0.0,1.041540443200859
62.0,13.925520016711763,0.595035973128909,0.0,0.0,1.2758661011067989e-06,0.0,0.0,1.0415417104690377
63.0,13.925518943095021,0.5950371459275678,0.0,0.0,1.2929668395412045e-06,0.0,0.0,1.0415429948950257
64.0,13.925517875085303,0.595038334908256,0.0,0.0,1.3099532578917628e-06,0.0,0.0,1.04154429636461
65.0,13.925516812631251,0.5950395399459429,0.0,0.0,1.3268251411022184e-06,0.0,0.0,1.041545614763363
66.0,13.925515755681957,0.5950407609154683,0.0,0.0,1.3435822727351227e-06,0.0,0.0,1.0415469499766417
67.0,13.925514704186956,0.5950419976915403,0.0,0.0,1.3602244350128666e-06,0.0,0.0,1.0415483018895855
68.0,13.925513658096222,0.5950432501487349,0.0,0.0,1.3767514088592533e-06,0.0,0.0,1.0415496703871157
69.0,13.925512617360173,0.5950445181614943,0.0,0.0,1.3931629739398994e-06,0.0,0.0,1.0415510553539338
70.0,13.925511581929662,0.5950458016041258,0.0,0.0,1.4094589087036381e-06,0.0,0.0,1.0415524566745202
71.0,13.925510551755975,0.5950471003508009,0.0,0.0,1.4256389904233711e-06,0.0,0.0,1.0415538742331336
72.0,13.92550952679083,0.5950484142755542,0.0,0.0,1.4417029952365474e-06,0.0,0.0,1.041555307913809
73.0,13.925508506986372,0.5950497432522824,0.0,0.0,1.457650698185852e-06,0.0,0.0,1.0415567576003568
74.0,13.925507492295175,0.5950510871547431,0.0,0.0,1.4734818732597974e-06,0.0,0.0,1.0415582231763627
75.0,13.925506482670237,0.5950524458565539,0.0,0.0,1.489196293433287e-06,0.0,0.0,1.0415597045251852
76.0,13.925505478064974,0.595053819231192,0.0,0.0,1.5047937307078706e-06,0.0,0.0,1.0415612015299553
77.0,13.925504478433222,0.5950552071519928,0.0,0.0,1.5202739561520884e-06,0.0,0.0,1.041562714073576
78.0,13.925503483729234,0.595056609492149,0.0,0.0,1.535636739941372e-06,0.0,0.0,1.0415642420387203
79.0,13.925502493907675,0.5950580261247105,0.0,0.0,1.5508818513984542e-06,0.0,0.0,1.0415657853078317
80.0,13.925501508923624,0.5950594569225831,0.0,0.0,1.5660090590329765e-06,0.0,0.0,1.0415673437631219
81.0,13.925500528732565,0.595060901758528,0.0,0.0,1.581018130581772e-06,0.0,0.0,1.041568917286571
82.0,13.92549955329039,0.5950623605051609,0.0,0.0,1.5959088330483554e-06,0.0,0.0,1.0415705057599267
83.0,13.925498582553397,0.595063833034952,0.0,0.0,1.610680932742466e-06,0.0,0.0,1.041572109064703
84.0,13.925497616478282,0.5950653192202247,0.0,0.0,1.6253341953201505e-06,0.0,0.0,1.0415737270821799
85.0,13.92549665502214,0.5950668189331555,0.0,0.0,1.639868385822701e-06,0.0,0.0,1.041575359693403
86.0,13.925495698142468,0.5950683320457736,0.0,0.0,1.65428326871642e-06,0.0,0.0,1.0415770067791823
87.0,13.92549474579715,0.59506985842996,0.0,0.0,1.6685786079318652e-06,0.0,0.0,1.0415786682200925
88.0,13.925493797944469,0.5950713979574473,0.0,0.0,1.682754166902692e-06,0.0,0.0,1.0415803438964715
89.0,13.925492854543092,0.5950729504998199,0.0,0.0,1.6968097086051625e-06,0.0,0.0,1.0415820336884205
90.0,13.925491915552078,0.5950745159285125,0.0,0.0,1.7107449955968726e-06,0.0,0.0,1.0415837374758037
