,V(m/s),alpha(deg),beta(deg),p(deg/s),q(deg/s),r(deg/s),phi(deg),theta(deg),elevator(deg),aileron(deg),rudder(deg),gamma(deg),pb,qc,rb,CD_act,CL_act,Cm_act,CY_act,Cr_act,Cn_act
1.0,10.0609247333597,5.2643659099582445,0.0,0.0,-2.385199090526813e-09,0.0,0.0,4.065586205132012,-13.5686772832,0.0,0.0,1.198779704826232,0.0,-8.167252101210105e-09,0.0,0.05951890238577367,-0.00548406863371384,0.19560016888227422,0.0,0.0,0.0
2.0,10.060923258490158,5.264365914122331,0.0,0.0,-5.064104852754271e-09,0.0,0.0,4.065586201431699,-13.5686772832,0.0,0.0,1.1987797126906328,0.0,-1.734019907468866e-08,0.0,0.059518902424372716,-0.005484068831656655,0.19560016963249172,0.0,0.0,0.0
3.0,10.060921796389493,5.264365915403536,0.0,0.0,-8.033422852499688e-09,0.0,0.0,4.065586194906998,-13.5686772832,0.0,0.0,1.198779720496538,0.0,-2.7507560725492424e-08,0.0,0.05951890244913784,-0.005484069092817304,0.19560017037941244,0.0,0.0,0.0
4.0,10.060920346957882,5.264365913516583,0.0,0.0,-1.1289843858729053e-08,0.0,0.0,4.065586185269152,-13.5686772832,0.0,0.0,1.1987797282474313,0.0,-3.8658006178412703e-08,0.0,0.059518902458507536,-0.005484069420459647,0.1956001711149998,0.0,0.0,0.0
5.0,10.060918910097522,5.26436590817966,0.0,0.0,-1.4830043872710878e-08,0.0,0.0,4.065586172232718,-13.5686772832,0.0,0.0,1.1987797359469425,0.0,-5.078015397799659e-08,0.0,0.05951890245093895,-0.005484069817802889,0.19560017183130157,0.0,0.0,0.0
6.0,10.060917485712602,5.264365899114431,0.0,0.0,-1.8650684167305066e-08,0.0,0.0,4.065586155515584,-13.5686772832,0.0,0.0,1.1987797435988465,0.0,-6.386257222326787e-08,0.0,0.0595189024249079,-0.005484070288021253,0.19560017252045026,0.0,0.0,0.0
7.0,10.060916073709274,5.264365886046046,0.0,0.0,-2.274841133439897e-08,0.0,0.0,4.065586134838987,-13.5686772832,0.0,0.0,1.1987797512070593,0.0,-7.789377873034132e-08,0.0,0.059518902378908986,-0.005484070834243973,0.19560017317466322,0.0,0.0,0.0
8.0,10.060914673995619,5.264365868703157,0.0,0.0,-2.7119857339780892e-08,0.0,0.0,4.065586109927522,-13.5686772832,0.0,0.0,1.1987797587756353,0.0,-9.286224122050025e-08,0.0,0.059518902311455596,-0.005484071459555012,0.19560017378624323,0.0,0.0,0.0
9.0,10.060913286481616,5.264365846817929,0.0,0.0,-3.176163958925992e-08,0.0,0.0,4.06558608050916,-13.5686772832,0.0,0.0,1.1987797663087694,0.0,-1.0875637754677946e-07,0.0,0.05951890222108007,-0.005484072166993009,0.19560017434757876,0.0,0.0,0.0
10.0,10.060911911079115,5.264365820126053,0.0,0.0,-3.6670360997816636e-08,0.0,0.0,4.065586046315262,-13.5686772832,0.0,0.0,1.1987797738107906,0.0,-1.25564555930923e-07,0.0,0.05951890210633366,-0.005484072959551084,0.19560017485114423,0.0,0.0,0.0
11.0,10.060910547701804,5.264365788366758,0.0,0.0,-4.1842610072941495e-08,0.0,0.0,4.065586007080595,-13.5686772832,0.0,0.0,1.198779781286163,0.0,-1.4327509524891947e-07,0.0,0.0595189019657867,-0.005484073840176698,0.19560017528950036,0.0,0.0,0.0
