V,alpha,beta,p,q,r,phi,theta,elevator,aileron,rudder,eta,type
13.5849755369,1.1912771606,0.0,0.0,0.0,0.0,0.0,1.7618548787000001,-3.0577675411,0.0,0.0,0.1836,elevator
13.5750086782,1.2074797246,0.0,0.0,0.0,0.0,0.0,1.7802459057,-3.0974107387,0.0,0.0,0.1836,elevator
13.565041510599999,1.2236297552,0.0,0.0,0.0,0.0,0.0,1.7985129061000003,-3.1368773894,0.0,0.0,0.1836,elevator
13.5550740411,1.239728337,0.0,0.0,0.0,0.0,0.0,1.8166575991,-3.1761707516000004,0.0,0.0,0.1836,elevator
13.5451062763,1.2557765262,0.0,0.0,0.0,0.0,0.0,1.8346816602,-3.215293997,0.0,0.0,0.1836,elevator
13.5351382228,1.2717753515,0.0,0.0,0.0,0.0,0.0,1.8525867219,-3.2542502133999998,0.0,0.0,0.1836,elevator
13.5251698867,1.2877258151,0.0,0.0,0.0,0.0,0.0,1.8703743758000002,-3.2930424081,0.0,0.0,0.1836,elevator
13.5152012743,1.3036288939,0.0,0.0,0.0,0.0,0.0,1.8880461738999998,-3.3316735107,0.0,0.0,0.1836,elevator
13.505232391400002,1.3194855403,0.0,0.0,0.0,0.0,0.0,1.90560363,-3.3701463757,0.0,0.0,0.1836,elevator
13.495263243699998,1.3352966827,0.0,0.0,0.0,0.0,0.0,1.9230482211000002,-3.4084637854000004,0.0,0.0,0.1836,elevator
13.4852938369,1.3510632271,0.0,0.0,0.0,0.0,0.0,1.9403813884999999,-3.4466284525999997,0.0,0.0,0.1836,elevator
13.4753241762,1.3667860571000001,0.0,0.0,0.0,0.0,0.0,1.9576045390999999,-3.4846430226,0.0,0.0,0.1836,elevator
13.465354267,1.3824660352,0.0,0.0,0.0,0.0,0.0,1.9747190466999998,-3.5225100757999996,0.0,0.0,0.1836,elevator
13.455384114400001,1.3981040034,0.0,0.0,0.0,0.0,0.0,1.9917262528,-3.5602321298,0.0,0.0,0.1836,elevator
13.4454137232,1.4137007836000002,0.0,0.0,0.0,0.0,0.0,2.0086274679,-3.5978116417000003,0.0,0.0,0.1836,elevator
13.435443098299999,1.4292571788,0.0,0.0,0.0,0.0,0.0,2.0254239725,-3.6352510100999997,0.0,0.0,0.1836,elevator
13.4254722443,1.4447739734,0.0,0.0,0.0,0.0,0.0,2.0421170180000003,-3.6725525767000002,0.0,0.0,0.1836,elevator
13.415501165899999,1.4602519336000002,0.0,0.0,0.0,0.0,0.0,2.0587078278,-3.7097186287,0.0,0.0,0.1836,elevator
13.4055298673,1.4756918087,0.0,0.0,0.0,0.0,0.0,2.0751975978,-3.7467514002999995,0.0,0.0,0.1836,elevator
13.3955583529,1.4910943309,0.0,0.0,0.0,0.0,0.0,2.0915874977,-3.7836530745,0.0,0.0,0.1836,elevator
13.385586627,1.5064602161000002,0.0,0.0,0.0,0.0,0.0,2.1078786716,-3.8204257844,0.0,0.0,0.1836,elevator
13.3756146934,1.5217901647999998,0.0,0.0,0.0,0.0,0.0,2.1240722388999997,-3.8570716154,0.0,0.0,0.1836,elevator
13.365642556300001,1.5370848621000002,0.0,0.0,0.0,0.0,0.0,2.1401692949,-3.8935926062,0.0,0.0,0.1836,elevator
13.3556702194,1.5523449781999998,0.0,0.0,0.0,0.0,0.0,2.1561709117,-3.9299907506,0.0,0.0,0.1836,elevator
13.345697686500001,1.5675711691999998,0.0,0.0,0.0,0.0,0.0,2.1720781387,-3.9662679986000002,0.0,0.0,0.1836,elevator
13.3357249614,1.5827640772999998,0.0,0.0,0.0,0.0,0.0,2.1878920037,-4.0024262579,0.0,0.0,0.1836,elevator
13.3257520474,1.5979243313,0.0,0.0,0.0,0.0,0.0,2.2036135129,-4.0384673953,0.0,0.0,0.1836,elevator
13.3157789482,1.6130525468,0.0,0.0,0.0,0.0,0.0,2.219243652,-4.0743932377,0.0,0.0,0.1836,elevator
13.3058056671,1.6281493271,0.0,0.0,0.0,0.0,0.0,2.2347833869,-4.1102055733,0.0,0.0,0.1836,elevator
13.2958322073,1.643215263,0.0,0.0,0.0,0.0,0.0,2.2502336636,-4.1459061529,0.0,0.0,0.1836,elevator
13.2858585722,1.6582509334,0.0,0.0,0.0,0.0,0.0,2.2655954097,-4.1814966912000004,0.0,0.0,0.1836,elevator
13.2758847649,1.6732569057,0.0,0.0,0.0,0.0,0.0,2.2808695341,-4.2169788674,0.0,0.0,0.1836,elevator
13.2659107884,1.6882337362,0.0,0.0,0.0,0.0,0.0,2.296056928,-4.2523543263,0.0,0.0,0.1836,elevator
13.255936645799999,1.7031819701,0.0,0.0,0.0,0.0,0.0,2.3111584653,-4.2876246797,0.0,0.0,0.1836,elevator
13.2459623399,1.7181021422999998,0.0,0.0,0.0,0.0,0.0,2.3261750029,-4.322791507,0.0,0.0,0.1836,elevator
13.2359878737,1.7329947771,0.0,0.0,0.0,0.0,0.0,2.3411073814,-4.357856356,0.0,0.0,0.1836,elevator
13.2260132498,1.7478603891,0.0,0.0,0.0,0.0,0.0,2.3559564255,-4.3928207442,0.0,0.0,0.1836,elevator
13.216038471,1.7626994831,0.0,0.0,0.0,0.0,0.0,2.3707229443,-4.4276861593,0.0,0.0,0.1836,elevator
13.2060635401,1.7775125545,0.0,0.0,0.0,0.0,0.0,2.3854077317,-4.4624540602,0.0,0.0,0.1836,elevator
13.1960884595,1.7923000893,0.0,0.0,0.0,0.0,0.0,2.4000115672,-4.497125877799999,0.0,0.0,0.1836,elevator
13.1861132318,1.8070625649,0.0,0.0,0.0,0.0,0.0,2.4145352157,-4.5317030155,0.0,0.0,0.1836,elevator
13.1761378596,1.8218004498,0.0,0.0,0.0,0.0,0.0,2.4289794283,-4.566186850299999,0.0,0.0,0.1836,elevator
13.1661623452,1.8365142043,0.0,0.0,0.0,0.0,0.0,2.4433449424,-4.6005787334,0.0,0.0,0.1836,elevator
13.156186690999998,1.8512042801,0.0,0.0,0.0,0.0,0.0,2.4576324824,-4.6348799907,0.0,0.0,0.1836,elevator
13.146210899300002,1.8658711212999999,0.0,0.0,0.0,0.0,0.0,2.4718427596,-4.6690919236,0.0,0.0,0.1836,elevator
13.1362349724,1.8805151639,0.0,0.0,0.0,0.0,0.0,2.4859764729,-4.7032158098000005,0.0,0.0,0.1836,elevator
13.126258912599999,1.8951368363999999,0.0,0.0,0.0,0.0,0.0,2.5000343087,-4.7372529037,0.0,0.0,0.1836,elevator
13.116282721900001,1.9097365600999998,0.0,0.0,0.0,0.0,0.0,2.5140169418,-4.7712044371,0.0,0.0,0.1836,elevator
13.1063064026,1.924314749,0.0,0.0,0.0,0.0,0.0,2.5279250352,-4.8050716198000005,0.0,0.0,0.1836,elevator
13.0963299567,1.9388718098,0.0,0.0,0.0,0.0,0.0,2.5417592404,-4.8388556399,0.0,0.0,0.1836,elevator
13.0863533863,1.9534081428,0.0,0.0,0.0,0.0,0.0,2.555520198,-4.8725576647,0.0,0.0,0.1836,elevator
13.076376693299999,1.9679241414,0.0,0.0,0.0,0.0,0.0,2.5692085379,-4.9061788413,0.0,0.0,0.1836,elevator
13.0663998797,1.9824201927,0.0,0.0,0.0,0.0,0.0,2.5828248792,-4.9397202966,0.0,0.0,0.1836,elevator
13.0564229475,1.9968966771,0.0,0.0,0.0,0.0,0.0,2.5963698308,-4.9731831383,0.0,0.0,0.1836,elevator
13.046445898499998,2.0113539692,0.0,0.0,0.0,0.0,0.0,2.6098439916,-5.0065684551,0.0,0.0,0.1836,elevator
13.0364687345,2.0257924374000003,0.0,0.0,0.0,0.0,0.0,2.6232479506999997,-5.0398773173,0.0,0.0,0.1836,elevator
13.0264914574,2.0402124444,0.0,0.0,0.0,0.0,0.0,2.6365822875,-5.073110777,0.0,0.0,0.1836,elevator
