,V(m/s),alpha(deg),beta(deg),p(deg/s),q(deg/s),r(deg/s),phi(deg),theta(deg),elevator(deg),aileron(deg),rudder(deg),gamma(deg),pb,qc,rb,CD_act,CL_act,Cm_act,CY_act,Cr_act,Cn_act
1.0,11.379054925491413,3.9047505234438398,0.0,0.0,-2.3630867921930766e-09,0.0,0.0,3.800488283938689,-9.7937113233,0.0,0.0,0.10426223950515068,0.0,-7.154226824995821e-09,0.0,0.04661704726239434,-0.0031819146919618985,0.14228966646543662,0.0,0.0,0.0
2.0,11.379053445626344,3.904750524971128,0.0,0.0,-4.9677251247660475e-09,0.0,0.0,3.8004882802933095,-9.7937113233,0.0,0.0,0.1042622446778183,0.0,-1.5039751009691325e-08,0.0,0.046617047279181735,-0.003181914876337677,0.14228966704639678,0.0,0.0,0.0
3.0,11.379051977126629,3.9047505237445224,0.0,0.0,-7.81143369177945e-09,0.0,0.0,3.800488273923549,-9.7937113233,0.0,0.0,0.10426224982097354,0.0,-2.3649060679460454e-08,0.0,0.04661704728514809,-0.003181915115339308,0.14228966760941347,0.0,0.0,0.0
4.0,11.379050519915678,3.9047505195293133,0.0,0.0,-1.0891722589902196e-08,0.0,0.0,3.8004882645915816,-9.7937113233,0.0,0.0,0.10426225493773167,0.0,-3.297461792312275e-08,0.0,0.04661704727928104,-0.003181915411829203,0.14228966814818741,0.0,0.0,0.0
5.0,11.379049073918445,3.904750512093429,0.0,0.0,-1.4206093304175939e-08,0.0,0.0,3.800488252062076,-9.7937113233,0.0,0.0,0.10426226003135275,0.0,-4.30088587499459e-08,0.0,0.046617047260579456,-0.0031819157686347257,0.14228966865648257,0.0,0.0,0.0
6.0,11.379047639061406,3.904750501207442,0.0,0.0,-1.7752038695442433e-08,0.0,0.0,3.800488236102203,-9.7937113233,0.0,0.0,0.10426226510523895,0.0,-5.374419305168107e-08,0.0,0.04661704722805349,-0.0031819161885481353,0.14228966912812624,0.0,0.0,0.0
7.0,11.37904621527254,3.9047504866445784,0.0,0.0,-2.1527042993690705e-08,0.0,0.0,3.8004882164816456,-9.7937113233,0.0,0.0,0.10426227016293277,0.0,-6.517300458251831e-08,0.0,0.04661704718072454,-0.003181916674326428,0.14228966955700917,0.0,0.0,0.0
8.0,11.379044802481303,3.9047504681807217,0.0,0.0,-2.5528581798810212e-08,0.0,0.0,3.8004881929726055,-9.7937113233,0.0,0.0,0.10426227520811615,0.0,-7.728765096146188e-08,0.0,0.046617047117625376,-0.0031819172286913083,0.14228966993708583,0.0,0.0,0.0
9.0,11.379043400618606,3.9047504455944217,0.0,0.0,-2.9754122082379604e-08,0.0,0.0,3.800488165349815,-9.7937113233,0.0,0.0,0.10426228024460693,0.0,-9.008046367783895e-08,0.0,0.04661704703780012,-0.0031819178543290583,0.1422896702623745,0.0,0.0,0.0
10.0,11.379042009616795,3.9047504186669006,0.0,0.0,-3.4201122196127344e-08,0.0,0.0,3.8004881333905414,-9.7937113233,0.0,0.0,0.10426228527635928,0.0,-1.0354374811700565e-07,0.0,0.04661704694030423,-0.0031819185538905018,0.14228967052695754,0.0,0.0,0.0
11.0,11.379040629409626,3.90475038718206,0.0,0.0,-3.886703188607169e-08,0.0,0.0,3.8004880968746004,-9.7937113233,0.0,0.0,0.1042622903074597,0.0,-1.1766978360324556e-07,0.0,0.046617046824204623,-0.0031819193299908455,0.14228967072498144,0.0,0.0,0.0
12.0,11.37903925993225,3.9047503509264883,0.0,0.0,-4.3749292309312163e-08,0.0,0.0,3.8004880555843608,-9.7937113233,0.0,0.0,0.1042622953421275,0.0,-1.3245082345069418e-07,0.0,0.04661704668857963,-0.003181920185209637,0.142289670850657,0.0,0.0,0.0
13.0,11.379037901121185,3.904750309689466,0.0,0.0,-4.884533605745434e-08,0.0,0.0,3.800488009304755,-9.7937113233,0.0,0.0,0.10426230038471118,0.0,-1.47879095034344e-07,0.0,0.046617046532519066,-0.003181921122090682,0.14228967089825967,0.0,0.0,0.0
14.0,11.379036552914295,3.904750263262974,0.0,0.0,-5.4152587183568106e-08,0.0,0.0,3.8004879578232864,-9.7937113233,0.0,0.0,0.10426230543968762,0.0,-1.6394679987174592e-07,0.0,0.046617046355124245,-0.0031819221431419117,0.14228967086212949,0.0,0.0,0.0
15.0,11.379035215250772,3.9047502114416996,0.0,0.0,-5.966846123289532e-08,0.0,0.0,3.8004879009300394,-9.7937113233,0.0,0.0,0.10426231051166024,0.0,-1.8064611371606014e-07,0.0,0.04661704615550798,-0.0031819232508353695,0.14228967073667145,0.0,0.0,0.0
16.0,11.37903388807111,3.9047501540230436,0.0,0.0,-6.539036528196261e-08,0.0,0.0,3.8004878384176872,-9.7937113233,0.0,0.0,0.10426231560535637,0.0,-1.9796918667455282e-07,0.0,0.04661704593279467,-0.003181924447607079,0.14228967051635558,0.0,0.0,0.0
17.0,11.379032571317092,3.9047500908071258,0.0,0.0,-7.131569797835568e-08,0.0,0.0,3.8004877700814994,-9.7937113233,0.0,0.0,0.10426232072562636,0.0,-2.1590814332909344e-07,0.0,0.04661704568612028,-0.003181925735856961,0.14228967019571706,0.0,0.0,0.0
18.0,11.37903126493176,3.9047500215967927,0.0,0.0,-7.74418495852591e-08,0.0,0.0,3.8004876957193514,-9.7937113233,0.0,0.0,0.10426232587744133,0.0,-2.3445508287107915e-07,0.0,0.04661704541463242,-0.003181927117948742,0.14228966976935653,0.0,0.0,0.0
19.0,11.379029968859399,3.904749946197624,0.0,0.0,-8.376620203464758e-08,0.0,0.0,3.800487615131733,-9.7937113233,0.0,0.0,0.104262331065891,0.0,-2.5360207926254963e-07,0.0,0.04661704511749029,-0.003181928596209943,0.14228966923194014,0.0,0.0,0.0
20.0,11.379028683045517,3.904749864417939,0.0,0.0,-9.028612897980093e-08,0.0,0.0,3.8004875281217556,-9.7937113233,0.0,0.0,0.1042623362961832,0.0,-2.7334118139525393e-07,0.0,0.0466170447938648,-0.0031819301729316893,0.14228966857819983,0.0,0.0,0.0
21.0,11.379027407436823,3.9047497760688024,0.0,0.0,-9.699899585534131e-08,0.0,0.0,3.8004874344951616,-9.7937113233,0.0,0.0,0.10426234157364078,0.0,-2.936644132724892e-07,0.0,0.046617044442938536,-0.0031819318503687327,0.1422896678029334,0.0,0.0,0.0
22.0,11.379026141981205,3.9047496809640316,0.0,0.0,-1.0390215994037662e-07,0.0,0.0,3.8004873340603313,-9.7937113233,0.0,0.0,0.10426234690370029,0.0,-3.145637742003429e-07,0.0,0.04661704406390583,-0.003181933630739306,0.14228966690100472,0.0,0.0,0.0
23.0,11.379024886627715,3.9047495789202022,0.0,0.0,-1.1099297042793528e-07,0.0,0.0,3.8004872266282925,-9.7937113233,0.0,0.0,0.10426235229190972,0.0,-3.3603123899798096e-07,0.0,0.04661704365597272,-0.0031819355162250873,0.14228966586734396,0.0,0.0,0.0
24.0,11.379023641326542,3.9047494697566543,0.0,0.0,-1.1826876849558089e-07,0.0,0.0,3.8004871120127275,-9.7937113233,0.0,0.0,0.10426235774392678,0.0,-3.5805875821150695e-07,0.0,0.04661704321835707,-0.003181937508971118,0.1422896646969476,0.0,0.0,0.0
25.0,11.379022406028998,3.9047493532954993,0.0,0.0,-1.2572688738363029e-07,0.0,0.0,3.800486990029982,-9.7937113233,0.0,0.0,0.10426236326551752,0.0,-3.806382583508401e-07,0.0,0.046617042750288544,-0.003181939611085649,0.1422896633848788,0.0,0.0,0.0
26.0,11.379021180687493,3.904749229361626,0.0,0.0,-1.3336465247685063e-07,0.0,0.0,3.800486860499071,-9.7937113233,0.0,0.0,0.10426236886255502,0.0,-4.037616421371246e-07,0.0,0.04661704225100859,-0.0031819418246402456,0.14228966192626738,0.0,0.0,0.0
27.0,11.379019965255523,3.904749097782705,0.0,0.0,-1.4117938138706672e-07,0.0,0.0,3.800486723241689,-9.7937113233,0.0,0.0,0.10426237454101583,0.0,-4.274207887528944e-07,0.0,0.04661704171977057,-0.003181944151669523,0.14228966031631018,0.0,0.0,0.0
28.0,11.37901875968764,3.9047489583891957,0.0,0.0,-1.491683840448745e-07,0.0,0.0,3.800486578082217,-9.7937113233,0.0,0.0,0.10426238030697865,0.0,-4.516075541198063e-07,0.0,0.04661704115583968,-0.0031819465941712102,0.14228965855027093,0.0,0.0,0.0
29.0,11.379017563939438,3.9047488110143527,0.0,0.0,-1.5732896279360665e-07,0.0,0.0,3.800486424847729,-9.7937113233,0.0,0.0,0.10426238616662387,0.0,-4.7631377118318996e-07,0.0,0.04661704055849306,-0.003181949154106002,0.14228965662348078,0.0,0.0,0.0
