,V(m/s),alpha(deg),beta(deg),p(deg/s),q(deg/s),r(deg/s),phi(deg),theta(deg),elevator(deg),aileron(deg),rudder(deg),gamma(deg),pb,qc,rb,CD_act,CL_act,Cm_act,CY_act,Cr_act,Cn_act
1.0,13.65473277234747,1.0762906465641802,0.0,0.0,-2.2845578944013665e-09,0.0,0.0,1.629490419164084,-2.7750282217,0.0,0.0,-0.5531997725999038,0.0,-5.76379053140538e-09,0.0,0.03244318294286495,-0.0006095110275237126,0.03844220536217841,0.0,0.0,0.0
2.0,13.654731286500303,1.0762906443063625,0.0,0.0,-4.645122382436294e-09,0.0,0.0,1.6294904157055485,-2.7750282217,0.0,0.0,-0.5531997713991861,0.0,-1.1719342015403697e-08,0.0,0.03244318294278702,-0.000609511185472332,0.038442205699505835,0.0,0.0,0.0
3.0,13.654729810199859,1.0762906396527334,0.0,0.0,-7.080992443640545e-09,0.0,0.0,1.6294904098487375,-2.7750282217,0.0,0.0,-0.5531997701960041,0.0,-1.7864885872820235e-08,0.0,0.03244318294042735,-0.0006095113735062815,0.038442205989759476,0.0,0.0,0.0
4.0,13.654728343387982,1.0762906325302253,0.0,0.0,-9.591468754788048e-09,0.0,0.0,1.629490401518695,-2.7750282217,0.0,0.0,-0.5531997689884698,0.0,-2.4198657805041597e-08,0.0,0.03244318293571364,-0.0006095115923735201,0.038442206231004236,0.0,0.0,0.0
5.0,13.65472688600698,1.076290622866514,0.0,0.0,-1.2175853669450503e-08,0.0,0.0,1.629490390641164,-2.7750282217,0.0,0.0,-0.5531997677746501,0.0,-3.071889774246748e-08,0.0,0.03244318292857431,-0.0006095118428141068,0.03844220642132378,0.0,0.0,0.0
6.0,13.654725437999636,1.0762906105900165,0.0,0.0,-1.4833451200234174e-08,0.0,0.0,1.6294903771425837,-2.7750282217,0.0,0.0,-0.5531997665525672,0.0,-3.742384979971656e-08,0.0,0.03244318291893852,-0.0006095121255601799,0.03844220655882051,0.0,0.0,0.0
7.0,13.65472399930919,1.0762905956298894,0.0,0.0,-1.7563566999393913e-08,0.0,0.0,1.6294903609500888,-2.7750282217,0.0,0.0,-0.5531997653201994,0.0,-4.431176222673789e-08,0.0,0.032443182906736166,-0.0006095124413360194,0.038442206641615496,0.0,0.0,0.0
8.0,13.654722569879349,1.0762905779160263,0.0,0.0,-2.0365508340466247e-08,0.0,0.0,1.6294903419915079,-2.7750282217,0.0,0.0,-0.5531997640754815,0.0,-5.138088736249304e-08,0.0,0.03244318289189785,-0.0006095127908580453,0.038442206667848436,0.0,0.0,0.0
9.0,13.654721149654268,1.076290557379056,0.0,0.0,-2.323858410054697e-08,0.0,0.0,1.6294903201953608,-2.7750282217,0.0,0.0,-0.5531997628163048,0.0,-5.862948159026399e-08,0.0,0.032443182874354895,-0.0006095131748348435,0.03844220663567757,0.0,0.0,0.0
10.0,13.654719738578562,1.0762905339503401,0.0,0.0,-2.6182104742653013e-08,0.0,0.0,1.629490295490858,-2.7750282217,0.0,0.0,-0.553199761540518,0.0,-6.605580529317335e-08,0.0,0.03244318285403937,-0.0006095135939671922,0.03844220654327968,0.0,0.0,0.0
11.0,13.65471833659729,1.0762905075619713,0.0,0.0,-2.9195382297674086e-08,0.0,0.0,1.629490267807899,-2.7750282217,0.0,0.0,-0.5531997602459278,0.0,-7.365812280866935e-08,0.0,0.032443182830884036,-0.0006095140489480785,0.038442206388849945,0.0,0.0,0.0
12.0,13.654716943655954,1.0762904781467713,0.0,0.0,-3.227773034760506e-08,0.0,0.0,1.62949023707707,-2.7750282217,0.0,0.0,-0.5531997589302988,0.0,-8.14347023862417e-08,0.0,0.03244318280482239,-0.0006095145404627252,0.038442206170602004,0.0,0.0,0.0
13.0,13.654715559700499,1.0762904456382882,0.0,0.0,-3.54284640089394e-08,0.0,0.0,1.6294902032296432,-2.7750282217,0.0,0.0,-0.553199757591355,0.0,-8.938381614554356e-08,0.0,0.03244318277578862,-0.000609515069188599,0.038442205886767805,0.0,0.0,0.0
14.0,13.654714184677307,1.076290409970796,0.0,0.0,-3.8646899915431373e-08,0.0,0.0,1.6294901661975747,-2.7750282217,0.0,0.0,-0.5531997562267787,0.0,-9.750374003292071e-08,0.0,0.03244318274371765,-0.0006095156357954438,0.038442205535597615,0.0,0.0,0.0
15.0,13.654712818533191,1.0762903710792904,0.0,0.0,-4.1932356202571386e-08,0.0,0.0,1.6294901259135033,-2.7750282217,0.0,0.0,-0.5531997548342129,0.0,-1.057927537822624e-07,0.0,0.032443182708545105,-0.0006095162409452976,0.038442205115359916,0.0,0.0,0.0
16.0,13.654711461215397,1.0762903288994892,0.0,0.0,-4.528415249126399e-08,0.0,0.0,1.629490082310749,-2.7750282217,0.0,0.0,-0.5531997534112598,0.0,-1.1424914087384065e-07,0.0,0.032443182670207314,-0.0006095168852925121,0.038442204624341406,0.0,0.0,0.0
17.0,13.65471011267159,1.0762902833678285,0.0,0.0,-4.870160987212755e-08,0.0,0.0,1.6294900353233113,-2.7750282217,0.0,0.0,-0.5531997519554828,0.0,-1.2287118849471736e-07,0.0,0.032443182628641314,-0.0006095175694837661,0.03844220406084692,0.0,0.0,0.0
18.0,13.654708772849864,1.0762902344214618,0.0,0.0,-5.218405089061338e-08,0.0,0.0,1.629489984885868,-2.7750282217,0.0,0.0,-0.5531997504644062,0.0,-1.3165718750121874e-07,0.0,0.03244318258378486,-0.000609518294158097,0.038442203423199366,0.0,0.0,0.0
19.0,13.654707441698724,1.0762901819982578,0.0,0.0,-5.573079953121109e-08,0.0,0.0,1.6294899309337736,-2.7750282217,0.0,0.0,-0.5531997489355158,0.0,-1.406054323791043e-07,0.0,0.03244318253557638,-0.0006095190599469131,0.03844220270973971,0.0,0.0,0.0
20.0,13.654706119167093,1.0762901260367985,0.0,0.0,-5.9341181203354065e-08,0.0,0.0,1.6294898734030578,-2.7750282217,0.0,0.0,-0.5531997473662593,0.0,-1.4971422120802448e-07,0.0,0.03244318248395505,-0.0006095198674740121,0.03844220191882691,0.0,0.0,0.0
21.0,13.654704805204307,1.0762900664763773,0.0,0.0,-6.30145227265796e-08,0.0,0.0,1.6294898122304244,-2.7750282217,0.0,0.0,-0.5531997457540472,0.0,-1.5898185562409797e-07,0.0,0.0324431824288607,-0.000609520717355613,0.038442201048837846,0.0,0.0,0.0
22.0,13.654703499760105,1.076290003256997,0.0,0.0,-6.675015231627946e-08,0.0,0.0,1.6294897473532497,-2.7750282217,0.0,0.0,-0.5531997440962526,0.0,-1.6840664078397804e-07,0.0,0.03244318237023387,-0.0006095216102003521,0.03844220009816732,0.0,0.0,0.0
23.0,13.654702202784632,1.0762899363193688,0.0,0.0,-7.054739956981412e-08,0.0,0.0,1.6294896787095807,-2.7750282217,0.0,0.0,-0.553199742390212,0.0,-1.7798688532983667e-07,0.0,0.03244318230801581,-0.0006095225466093267,0.03844219906522793,0.0,0.0,0.0
24.0,13.654700914228433,1.0762898656049087,0.0,0.0,-7.440559545325113e-08,0.0,0.0,1.6294896062381343,-2.7750282217,0.0,0.0,-0.5531997406332256,0.0,-1.8772090135592258e-07,0.0,0.03244318224214844,-0.0006095235271760969,0.038442197948450135,0.0,0.0,0.0
25.0,13.654699634042448,1.0762897910557379,0.0,0.0,-7.832407228761923e-08,0.0,0.0,1.629489529878296,-2.7750282217,0.0,0.0,-0.5531997388225582,0.0,-1.976070043738975e-07,0.0,0.03244318217257441,-0.000609524552486718,0.03844219674628209,0.0,0.0,0.0
26.0,13.654698362178012,1.0762897126146789,0.0,0.0,-8.23021637355919e-08,0.0,0.0,1.6294894495701182,-2.7750282217,0.0,0.0,-0.5531997369554393,0.0,-2.076435132792557e-07,0.0,0.03244318209923701,-0.000609525623119743,0.03844219545718968,0.0,0.0,0.0
27.0,13.654697098586848,1.0762896302252554,0.0,0.0,-8.633920478962361e-08,0.0,0.0,1.6294893652543188,-2.7750282217,0.0,0.0,-0.5531997350290634,0.0,-2.1782875032140835e-07,0.0,0.032443182022080255,-0.0006095267396462583,0.03844219407965643,0.0,0.0,0.0
28.0,13.654695843221067,1.0762895438316893,0.0,0.0,-9.043453175839722e-08,0.0,0.0,1.62948927687228,-2.7750282217,0.0,0.0,-0.5531997330405907,0.0,-2.2816104106950672e-07,0.0,0.032443181941048845,-0.0006095279026298861,0.03844219261218349,0.0,0.0,0.0
29.0,13.654694596033162,1.0762894533788998,0.0,0.0,-9.458748225527025e-08,0.0,0.0,1.6294891843660473,-2.7750282217,0.0,0.0,-0.5531997309871475,0.0,-2.3863871438330826e-07,0.0,0.032443181856088125,-0.0006095291126268151,0.03844219105328956,0.0,0.0,0.0
30.0,13.654693356976004,1.076289358812501,0.0,0.0,-9.879739518585834e-08,0.0,0.0,1.629489087678328,-2.7750282217,0.0,0.0,-0.5531997288658268,0.0,-2.492601023818657e-07,0.0,0.03244318176714418,-0.0006095303701858148,0.038442189401510854,0.0,0.0,0.0
31.0,13.654692126002843,1.076289260078801,0.0,0.0,-1.0306361073661416e-07,0.0,0.0,1.6294889867524893,-2.7750282217,0.0,0.0,-0.5531997266736883,0.0,-2.6002354041472723e-07,0.0,0.03244318167416375,-0.0006095316758482523,0.03844218765540108,0.0,0.0,0.0
32.0,13.654690903067298,1.076289157124799,0.0,0.0,-1.0738547036330163e-07,0.0,0.0,1.6294888815325583,-2.7750282217,0.0,0.0,-0.5531997244077593,0.0,-2.709273670328727e-07,0.0,0.032443181577094235,-0.0006095330301481069,0.03844218581353136,0.0,0.0,0.0
33.0,13.654689688123359,1.0762890498981845,0.0,0.0,-1.1176231677994035e-07,0.0,0.0,1.6294887719632196,-2.7750282217,0.0,0.0,-0.5531997220650351,0.0,-2.8196992396083533e-07,0.0,0.032443181475883744,-0.0006095344336119971,0.038442183874490186,0.0,0.0,0.0
34.0,13.654688481125383,1.0762889383473355,0.0,0.0,-1.1619349394784631e-07,0.0,0.0,1.6294886579898145,-2.7750282217,0.0,0.0,-0.5531997196424789,0.0,-2.931495560690668e-07,0.0,0.03244318137048104,-0.0006095358867591848,0.03844218183688341,0.0,0.0,0.0
35.0,13.654687282028089,1.0762888224213163,0.0,0.0,-1.2067834706479755e-07,0.0,0.0,1.6294885395583396,-2.7750282217,0.0,0.0,-0.5531997171370233,0.0,-3.0446461134661696e-07,0.0,0.032443181260835584,-0.0006095373901016145,0.038442179699334174,0.0,0.0,0.0
36.0,13.654686090786555,1.0762887020698764,0.0,0.0,-1.252162225548947e-07,0.0,0.0,1.6294884166154462,-2.7750282217,0.0,0.0,-0.5531997145455698,0.0,-3.1591344087556685e-07,0.0,0.032443181146897496,-0.0006095389441439017,0.03844217746048287,0.0,0.0,0.0
