,V(m/s),alpha(deg),beta(deg),p(deg/s),q(deg/s),r(deg/s),phi(deg),theta(deg),elevator(deg),aileron(deg),rudder(deg),gamma(deg),pb,qc,rb,CD_act,CL_act,Cm_act,CY_act,Cr_act,Cn_act
1.0,12.475702425538943,-6.30615348809339,0.0,0.0,-2.016164848065006e-09,0.0,0.0,-6.592600973044193,20.8114490793,0.0,0.0,0.28644748495080297,0.0,-5.567372212538082e-09,0.0,0.038636755134434146,0.004269737367365786,-0.2275663647217992,0.0,0.0,0.0
2.0,12.475700949618375,-6.306153498519416,0.0,0.0,-3.6007676156783067e-09,0.0,0.0,-6.592600975888476,20.8114490793,0.0,0.0,0.28644747736905973,0.0,-9.943044071115875e-09,0.0,0.0386367551791055,0.00426973711409101,-0.22756636467381275,0.0,0.0,0.0
3.0,12.47569948395467,-6.306153510249182,0.0,0.0,-4.757330947768012e-09,0.0,0.0,-6.5926009801030485,20.8114490793,0.0,0.0,0.2864474698538668,0.0,-1.3136742461726607e-08,0.0,0.03863675523264466,0.00426973687463203,-0.2275663647394891,0.0,0.0,0.0
4.0,12.475698028467292,-6.306153522857611,0.0,0.0,-5.4893780261743315e-09,0.0,0.0,-6.592600985261632,20.8114490793,0.0,0.0,0.28644746240402164,0.0,-1.5158195763490986e-08,0.0,0.038636755292873304,0.004269736654366099,-0.2275663649077655,0.0,0.0,0.0
5.0,12.475696583078745,-6.306153535923444,0.0,0.0,-5.800433276190071e-09,0.0,0.0,-6.592600990941474,20.8114490793,0.0,0.0,0.2864474550180294,0.0,-1.6017135799517437e-08,0.0,0.038636755357632474,0.004269736458619805,-0.22756636516767226,0.0,0.0,0.0
6.0,12.475695147714541,-6.306153549029242,0.0,0.0,-5.694023051813198e-09,0.0,0.0,-6.592600996723344,20.8114490793,0.0,0.0,0.28644744769410213,0.0,-1.5723299728985414e-08,0.0,0.038636755424782614,0.004269736292668996,-0.2275663655083326,0.0,0.0,0.0
7.0,12.475693722303145,-6.30615356176138,0.0,0.0,-5.173676316032517e-09,0.0,0.0,-6.592601002191541,20.8114490793,0.0,0.0,0.28644744043016157,0.0,-1.428643192551993e-08,0.0,0.03863675549220356,0.0042697361617387575,-0.22756636591896262,0.0,0.0,0.0
8.0,12.475692306775938,-6.306153573710051,0.0,0.0,-4.242925298716928e-09,0.0,0.0,-6.592601006933895,20.8114490793,0.0,0.0,0.28644743322384425,0.0,-1.1716285793727804e-08,0.0,0.038636755557794486,0.004269736071003394,-0.22756636638887104,0.0,0.0,0.0
9.0,12.475690901067178,-6.306153584469267,0.0,0.0,-2.9053061438193526e-09,0.0,0.0,-6.592601010541769,20.8114490793,0.0,0.0,0.2864474260725025,0.0,-8.022625556233935e-09,0.0,0.038636755619474,0.004269736025586238,-0.22756636690745913,0.0,0.0,0.0
10.0,12.47568950511395,-6.306153593636857,0.0,0.0,-1.1643595444574696e-09,0.0,0.0,-6.592601012610065,20.8114490793,0.0,0.0,0.286447418973208,0.0,-3.2152280072469997e-09,0.0,0.038636755675180046,0.0042697360305597315,-0.2275663674642207,0.0,0.0,0.0
11.0,12.475688118856127,-6.306153600814475,0.0,0.0,9.763686402709926e-10,0.0,0.0,-6.592601012737227,20.8114490793,0.0,0.0,0.2864474119227527,0.0,2.6961157843067107e-09,0.0,0.038636755722869995,0.004269736090945317,-0.22756636804874186,0.0,0.0,0.0
12.0,12.47568674223633,-6.306153605607595,0.0,0.0,3.5133267794416812e-09,0.0,0.0,-6.592601010525251,20.8114490793,0.0,0.0,0.28644740491765575,0.0,9.701598801932561e-09,0.0,0.038636755760520586,0.004269736211713296,-0.2275663686507012,0.0,0.0,0.0
13.0,12.47568537519989,-6.306153607625524,0.0,0.0,6.442956879704652e-09,0.0,0.0,-6.5926010055796835,20.8114490793,0.0,0.0,0.2864473979541593,0.0,1.779139645081575e-08,0.0,0.03863675578612799,0.004269736397782761,-0.22756636925986962,0.0,0.0,0.0
14.0,12.475684017694794,-6.306153606481396,0.0,0.0,9.76169400795027e-09,0.0,0.0,-6.592600997509635,20.8114490793,0.0,0.0,0.286447391028239,0.0,2.6955664963693523e-08,0.0,0.038636755797707825,0.004269736654021625,-0.2275663698661104,0.0,0.0,0.0
15.0,12.47568266967166,-6.306153601792182,0.0,0.0,1.346596572764565e-08,0.0,0.0,-6.592600985927784,20.8114490793,0.0,0.0,0.28644738413560145,0.0,3.7184539844471844e-08,0.0,0.03863675579329513,0.004269736985246325,-0.22756637045937894,0.0,0.0,0.0
16.0,12.475681331083685,-6.306153593178697,0.0,0.0,1.7552191548876865e-08,0.0,0.0,-6.592600970450385,20.8114490793,0.0,0.0,0.28644737727168756,0.0,4.8468134349683964e-08,0.0,0.038636755770944456,0.004269737396221829,-0.22756637102972327,0.0,0.0,0.0
17.0,12.475680001886609,-6.306153580265599,0.0,0.0,2.201678239372889e-08,0.0,0.0,-6.592600950697278,20.8114490793,0.0,0.0,0.286447370431679,0.0,6.079653801229761e-08,0.0,0.03863675572872981,0.004269737891661518,-0.22756637156728354,0.0,0.0,0.0
