,V(m/s),alpha(deg),beta(deg),p(deg/s),q(deg/s),r(deg/s),phi(deg),theta(deg),elevator(deg),aileron(deg),rudder(deg),gamma(deg),pb,qc,rb,CD_act,CL_act,Cm_act,CY_act,Cr_act,Cn_act
1.0,12.356002227271714,-6.4389681047282235,0.0,0.0,-2.013014758414343e-09,0.0,0.0,-6.6109362000430485,21.2782816774,0.0,0.0,0.17196809531482504,0.0,-5.612523950045183e-09,0.0,0.03937878116950102,0.004444159154431387,-0.23261384385163175,0.0,0.0,0.0
2.0,12.356000751877243,-6.438968115381095,0.0,0.0,-3.5893317627519323e-09,0.0,0.0,-6.610936202880464,21.2782816774,0.0,0.0,0.1719680874993692,0.0,-1.000748395131148e-08,0.0,0.039378781215980284,0.00444415889755663,-0.23261384380812886,0.0,0.0,0.0
3.0,12.355999286831825,-6.438968127324682,0.0,0.0,-4.732535484956487e-09,0.0,0.0,-6.610936207077341,21.2782816774,0.0,0.0,0.17196807975265838,0.0,-1.3194873491980808e-08,0.0,0.03937878127131655,0.0044441586555642315,-0.23261384387992914,0.0,0.0,0.0
4.0,12.355997832053802,-6.438968140128933,0.0,0.0,-5.446212011202111e-09,0.0,0.0,-6.610936212202359,21.2782816774,0.0,0.0,0.17196807207342601,0.0,-1.518469057182785e-08,0.0,0.039378781333286074,0.004444158433868917,-0.23261384405580185,0.0,0.0,0.0
5.0,12.35599638746458,-6.438968153367678,0.0,0.0,-5.733949745020918e-09,0.0,0.0,-6.610936217827786,21.2782816774,0.0,0.0,0.17196806446010804,0.0,-1.5986939662460054e-08,0.0,0.03937878139968497,0.004444158237833992,-0.23261384432461107,0.0,0.0,0.0
6.0,12.355994952988583,-6.438968166618626,0.0,0.0,-5.599340092575317e-09,0.0,0.0,-6.610936223529476,21.2782816774,0.0,0.0,0.17196805691085082,0.0,-1.5611633617781872e-08,0.0,0.039378781468329245,0.004444158072771223,-0.2326138446753152,0.0,0.0,0.0
7.0,12.35599352855321,-6.4389681794633695,0.0,0.0,-5.04597813496088e-09,0.0,0.0,-6.610936228886882,21.2782816774,0.0,0.0,0.17196804942351207,0.0,-1.406879554830561e-08,0.0,0.03937878153705481,0.0044441579439409434,-0.2326138450969672,0.0,0.0,0.0
8.0,12.35599211408879,-6.438968191487385,0.0,0.0,-4.077463287961897e-09,0.0,0.0,-6.610936233483049,21.2782816774,0.0,0.0,0.1719680419956635,0.0,-1.136846066048549e-08,0.0,0.039378781603717446,0.004444157856551792,-0.23261384557871426,0.0,0.0,0.0
9.0,12.355990709528545,-6.438968202280032,0.0,0.0,-2.697399942732296e-09,0.0,0.0,-6.610936236904625,21.2782816774,0.0,0.0,0.17196803462459354,0.0,-7.520678042875711e-09,0.0,0.039378781666192825,0.004444157815760866,-0.23261384610979785,0.0,0.0,0.0
10.0,12.355989314808538,-6.438968211434559,0.0,0.0,-9.09398097623417e-10,0.0,0.0,-6.610936238741869,21.2782816774,0.0,0.0,0.17196802730730987,0.0,-2.5355124276110767e-09,0.0,0.039378781722376556,0.004444157826673345,-0.2326138466795536,0.0,0.0,0.0
11.0,12.355987929867638,-6.438968218548104,0.0,0.0,1.2829260296420505e-09,0.0,0.0,-6.610936238588647,21.2782816774,0.0,0.0,0.17196802004054312,0.0,3.5769541029037003e-09,0.0,0.03937878177018413,0.004444157894342701,-0.23261384727741127,0.0,0.0,0.0
12.0,12.355986554647474,-6.438968223221701,0.0,0.0,3.875949401526659e-09,0.0,0.0,-6.61093623604245,21.2782816774,0.0,0.0,0.17196801282074947,0.0,1.0806620442005089e-08,0.0,0.03937878180755101,0.00444415802377042,-0.2326138478928947,0.0,0.0,0.0
13.0,12.355985189092397,-6.438968225060281,0.0,0.0,6.8660415747326044e-09,0.0,0.0,-6.610936230704392,21.2782816774,0.0,0.0,0.17196800564411152,0.0,1.9143364825197948e-08,0.0,0.03937878183243256,0.004444158219905958,-0.23261384851562192,0.0,0.0,0.0
14.0,12.355983833149432,-6.43896822367268,0.0,0.0,1.0249564127543386e-08,0.0,0.0,-6.610936222179223,21.2782816774,0.0,0.0,0.17196799850654276,0.0,2.857704323362393e-08,0.0,0.039378781842804175,0.004444158487646635,-0.23261384913530503,0.0,0.0,0.0
15.0,12.355982486768243,-6.438968218671645,0.0,0.0,1.402287010353308e-08,0.0,0.0,-6.6109362100753355,21.2782816774,0.0,0.0,0.17196799140369023,0.0,3.909748784315963e-08,0.0,0.03937878183666124,0.004444158831837519,-0.23261384974175023,0.0,0.0,0.0
16.0,12.355981149901087,-6.438968209673835,0.0,0.0,1.8182303467829476e-08,0.0,0.0,-6.610936194004774,21.2782816774,0.0,0.0,0.17196798433093896,0.0,5.069450550851155e-08,0.0,0.03937878181201915,0.004444159257271346,-0.23261385032485798,0.0,0.0,0.0
