,V(m/s),alpha(deg),beta(deg),p(deg/s),q(deg/s),r(deg/s),phi(deg),theta(deg),elevator(deg),aileron(deg),rudder(deg),gamma(deg),pb,qc,rb,CD_act,CL_act,Cm_act,CY_act,Cr_act,Cn_act
1.0,13.282134089461463,-5.162776079141925,0.0,0.0,-2.048546364912673e-09,0.0,0.0,-6.0718197110557455,16.7201123562,0.0,0.0,0.9090436319138204,0.0,-5.31333457378934e-09,0.0,0.03415586486292752,0.003086054126368809,-0.18555935105342147,0.0,0.0,0.0
2.0,13.282132609700957,-5.162776087892177,0.0,0.0,-3.7208822172497225e-09,0.0,0.0,-6.0718197139716885,16.7201123562,0.0,0.0,0.9090436260795114,0.0,-9.650889367768402e-09,0.0,0.03415586488176044,0.0030860538978909613,-0.18555935095731124,0.0,0.0,0.0
3.0,13.28213113964568,-5.162776098076321,0.0,0.0,-5.01994936500195e-09,0.0,0.0,-6.071819718373088,16.7201123562,0.0,0.0,0.9090436202967664,0.0,-1.302029424390479e-08,0.0,0.03415586490656881,0.003086053673750949,-0.18555935095942416,0.0,0.0,0.0
4.0,13.282129679224784,-5.162776109323152,0.0,0.0,-5.94868906999362e-09,0.0,0.0,-6.071819723888145,16.7201123562,0.0,0.0,0.9090436145649923,0.0,-1.5429177655284056e-08,0.0,0.0341558649362239,0.003086053458872709,-0.18555935105082844,0.0,0.0,0.0
5.0,13.282128228369354,-5.1627761212646925,0.0,0.0,-6.510042424390236e-09,0.0,0.0,-6.071819730148003,16.7201123562,0.0,0.0,0.9090436088833105,0.0,-1.688516762255181e-08,0.0,0.03415586496960669,0.0030860532581356848,-0.18555935122266534,0.0,0.0,0.0
6.0,13.282126787012372,-5.162776133536188,0.0,0.0,-6.70695071448613e-09,0.0,0.0,-6.071819736786748,16.7201123562,0.0,0.0,0.9090436032505593,0.0,-1.7395892677366895e-08,0.0,0.03415586500560784,0.003086053076374884,-0.18555935146614932,0.0,0.0,0.0
7.0,13.282125355088702,-5.1627761457761085,0.0,0.0,-6.542355783994453e-09,0.0,0.0,-6.071819743441403,16.7201123562,0.0,0.0,0.9090435976652946,0.0,-1.6968982804567406e-08,0.0,0.034155865043127696,0.0030860529183808633,-0.18555935177256777,0.0,0.0,0.0
8.0,13.282123932535063,-5.162776157626142,0.0,0.0,-6.019200382499639e-09,0.0,0.0,-6.071819749751938,16.7201123562,0.0,0.0,0.909043592125796,0.0,-1.5612070345855825e-08,0.0,0.03415586508107628,0.003086052788899854,-0.18555935213328076,0.0,0.0,0.0
9.0,13.282122519289999,-5.162776168731199,0.0,0.0,-5.140428512603888e-09,0.0,0.0,-6.071819755361265,16.7201123562,0.0,0.0,0.9090435866300659,0.0,-1.3332790900100073e-08,0.0,0.03415586511837328,0.0030860526926335397,-0.1855593525397213,0.0,0.0,0.0
10.0,13.282121115293862,-5.162776178739405,0.0,0.0,-3.9089857646742255e-09,0.0,0.0,-6.071819759915238,16.7201123562,0.0,0.0,0.9090435811758333,0.0,-1.0138784191477212e-08,0.0,0.03415586515394802,0.0030860526342392502,-0.18555935298339496,0.0,0.0,0.0
11.0,13.282119720488781,-5.162776187302103,0.0,0.0,-2.327819650851431e-09,0.0,0.0,-6.071819763062662,16.7201123562,0.0,0.0,0.9090435757605588,0.0,-6.037694935705691e-09,0.0,0.03415586518673955,0.0030860526183298514,-0.18555935345587993,0.0,0.0,0.0
12.0,13.282118334818643,-5.162776194073854,0.0,0.0,-3.9987992318975994e-10,0.0,0.0,-6.071819764455286,16.7201123562,0.0,0.0,0.9090435703814324,0.0,-1.0371736651204389e-09,0.0,0.034155865215696524,0.003086052649473689,-0.18555935394882683,0.0,0.0,0.0
13.0,13.28211695822906,-5.162776198712435,0.0,0.0,1.8718811072132713e-09,0.0,0.0,-6.071819763747814,16.7201123562,0.0,0.0,0.909043565035379,0.0,4.855122443681246e-09,0.0,0.03415586523977726,0.003086052732194755,-0.18555935445395888,0.0,0.0,0.0
14.0,13.282115590667361,-5.162776200878839,0.0,0.0,4.484508264815383e-09,0.0,0.0,-6.071819760597902,16.7201123562,0.0,0.0,0.9090435597190627,0.0,1.163152877779823e-08,0.0,0.03415586525794974,0.0030860528709724666,-0.18555935496307158,0.0,0.0,0.0
15.0,13.282114232082552,-5.1627762002372775,0.0,0.0,7.43504320666492e-09,0.0,0.0,-6.071819754666161,16.7201123562,0.0,0.0,0.9090435544288837,0.0,1.9284372502301978e-08,0.0,0.0341558652691916,0.0030860530702416927,-0.18555935546803287,0.0,0.0,0.0
16.0,13.2821128824253,-5.162776196455178,0.0,0.0,1.0720524129444643e-08,0.0,0.0,-6.071819745616166,16.7201123562,0.0,0.0,0.9090435491609874,0.0,2.7805971800469304e-08,0.0,0.03415586527249012,0.0030860533343927965,-0.185559355960783,0.0,0.0,0.0
17.0,13.28211154164791,-5.162776189203189,0.0,0.0,1.433798548291515e-08,0.0,0.0,-6.071819733114452,16.7201123562,0.0,0.0,0.9090435439112632,0.0,3.718863513061143e-08,0.0,0.034155865266842264,0.0030860536677715794,-0.1855593564333345,0.0,0.0,0.0
