,V(m/s),alpha(deg),beta(deg),p(deg/s),q(deg/s),r(deg/s),phi(deg),theta(deg),elevator(deg),aileron(deg),rudder(deg),gamma(deg),pb,qc,rb,CD_act,CL_act,Cm_act,CY_act,Cr_act,Cn_act
1.0,14.38193983564779,-2.9777020350744485,0.0,0.0,-2.1065120328010107e-09,0.0,0.0,-3.978462046572969,8.8101424691,0.0,0.0,1.0007600114985205,0.0,-5.045865881744329e-09,0.0,0.029210894021419943,0.001519473134286721,-0.10596215034111231,0.0,0.0,0.0
2.0,14.381938345429154,-2.9777020409079755,0.0,0.0,-3.977348940544258e-09,0.0,0.0,-3.978462049634466,8.8101424691,0.0,0.0,1.0007600087264903,0.0,-9.527204727956373e-09,0.0,0.02921089402405584,0.0015194729627647091,-0.10596215018492189,0.0,0.0,0.0
3.0,14.381936864284175,-2.977702048465199,0.0,0.0,-5.6142725672564946e-09,0.0,0.0,-3.9784620544496963,8.8101424691,0.0,0.0,1.0007600059844974,0.0,-1.3448236615632845e-08,0.0,0.029210894029341048,0.001519472782005253,-0.10596215010506989,0.0,0.0,0.0
4.0,14.381935392153746,-2.9777020575126736,0.0,0.0,-7.019037077943021e-09,0.0,0.0,-3.978462060785625,8.8101424691,0.0,0.0,1.0007600032729513,0.0,-1.681316323163692e-08,0.0,0.029210894036987914,0.0015194725948359036,-0.10596215009587692,0.0,0.0,0.0
5.0,14.381933928979558,-2.9777020678188832,0.0,0.0,-8.193389106694817e-09,0.0,0.0,-3.9784620684109666,8.8101424691,0.0,0.0,1.0007600005920834,0.0,-1.9626168227409166e-08,0.0,0.029210894046711136,0.0015194724040604249,-0.10596215015170948,0.0,0.0,0.0
6.0,14.381932474704092,-2.97770207915423,0.0,0.0,-9.139067899207376e-09,0.0,0.0,-3.978462077096179,8.8101424691,0.0,0.0,1.000759997941949,0.0,-2.189141756029361e-08,0.0,0.029210894058227778,0.0015194722124590443,-0.10596215026697958,0.0,0.0,0.0
7.0,14.381931029270612,-2.9777020912910266,0.0,0.0,-9.857805459451784e-09,0.0,0.0,-3.9784620866134555,8.8101424691,0.0,0.0,1.0007599953224289,0.0,-2.3613059844811193e-08,0.0,0.029210894071257217,0.0015194720227884248,-0.10596215043614463,0.0,0.0,0.0
8.0,14.381929592623157,-2.9777021040034874,0.0,0.0,-1.0351326689082603e-08,0.0,0.0,-3.9784620967367177,8.8101424691,0.0,0.0,1.0007599927332302,0.0,-2.479522668653629e-08,0.0,0.029210894085521185,0.0015194718377818453,-0.10596215065370718,0.0,0.0,0.0
9.0,14.381928164706528,-2.9777021170677203,0.0,0.0,-1.0621349527942153e-08,0.0,0.0,-3.9784621072416093,8.8101424691,0.0,0.0,1.000759990173889,0.0,-2.5442033018600725e-08,0.0,0.029210894100743703,0.0015194716601492353,-0.10596215091421474,0.0,0.0,0.0
10.0,14.381926745466286,-2.9777021302617177,0.0,0.0,-1.0669585092161374e-08,0.0,0.0,-3.978462117905488,8.8101424691,0.0,0.0,1.0007599876437703,0.0,-2.5557577432441736e-08,0.0,0.029210894116651117,0.0015194714925773484,-0.10596215121225949,0.0,0.0,0.0
