,V(m/s),alpha(deg),beta(deg),p(deg/s),q(deg/s),r(deg/s),phi(deg),theta(deg),elevator(deg),aileron(deg),rudder(deg),gamma(deg),pb,qc,rb,CD_act,CL_act,Cm_act,CY_act,Cr_act,Cn_act
1.0,9.102683604513405,6.360319843600166,0.0,0.0,-2.3967017177501304e-09,0.0,0.0,4.072647508528895,-16.7060263087,0.0,0.0,2.287672335071271,0.0,-9.070553010933272e-09,0.0,0.07256816777751388,-0.008088938907047205,0.23942077351028712,0.0,0.0,0.0
2.0,9.10268213447741,6.360319850345431,0.0,0.0,-5.118383682682925e-09,0.0,0.0,4.07264750479827,-16.7060263087,0.0,0.0,2.2876723455471613,0.0,-1.9371028809252152e-08,0.0,0.0725681678409327,-0.008088939102019882,0.23942077439775505,0.0,0.0,0.0
3.0,9.102680678467364,6.3603198541167645,0.0,0.0,-8.16108654043701e-09,0.0,0.0,4.072647498185121,-16.7060263087,0.0,0.0,2.287672355931644,0.0,-3.088644337300786e-08,0.0,0.07256816788582923,-0.008088939373590814,0.23942077530402817,0.0,0.0,0.0
4.0,9.10267923636116,6.36031985459927,0.0,0.0,-1.1520828541926335e-08,0.0,0.0,4.072647488370417,-16.7060263087,0.0,0.0,2.287672366228853,0.0,-4.360172790489561e-08,0.0,0.07256816791000659,-0.008088939725812122,0.2394207762208594,0.0,0.0,0.0
5.0,9.102677808039198,6.360319851482208,0.0,0.0,-1.519360565921796e-08,0.0,0.0,4.072647475039119,-16.7060263087,0.0,0.0,2.287672376443089,0.0,-5.750172927111525e-08,0.0,0.07256816791129642,-0.008088940162674488,0.23942077714009052,0.0,0.0,0.0
6.0,9.102676393384337,6.36031984445901,0.0,0.0,-1.9175391717134833e-08,0.0,0.0,4.072647457880203,-16.7060263087,0.0,0.0,2.287672386578807,0.0,-7.257121049973848e-08,0.0,0.07256816788755902,-0.008088940688106908,0.23942077805365233,0.0,0.0,0.0
7.0,9.102674992281859,6.3603198332273045,0.0,0.0,-2.3462138536204522e-08,0.0,0.0,4.072647436586682,-16.7060263087,0.0,0.0,2.2876723966406223,0.0,-8.879485132200998e-08,0.0,0.07256816783668349,-0.008088941305976316,0.23942077895356517,0.0,0.0,0.0
8.0,9.102673604619422,6.360319817488933,0.0,0.0,-2.8049776089144697e-08,0.0,0.0,4.072647410855629,-16.7060263087,0.0,0.0,2.2876724066333036,0.0,-1.0615724876487384e-07,0.0,0.07256816775658784,-0.008088942020087447,0.23942077983193966,0.0,0.0,0.0
9.0,9.10267223028703,6.3603197969499705,0.0,0.0,-3.29342126703404e-08,0.0,0.0,4.072647380388197,-16.7060263087,0.0,0.0,2.2876724165617732,0.0,-1.2464291779266347e-07,0.0,0.07256816764521916,-0.008088942834182475,0.23942078068097683,0.0,0.0,0.0
10.0,9.10267086917698,6.360319771320742,0.0,0.0,-3.811133507669013e-08,0.0,0.0,4.072647344889642,-16.7060263087,0.0,0.0,2.2876724264311,0.0,-1.4423629199181234e-07,0.0,0.07256816750055374,-0.008088943751940872,0.23942078149296886,0.0,0.0,0.0
