,V(m/s),alpha(deg),beta(deg),p(deg/s),q(deg/s),r(deg/s),phi(deg),theta(deg),elevator(deg),aileron(deg),rudder(deg),gamma(deg),pb,qc,rb,CD_act,CL_act,Cm_act,CY_act,Cr_act,Cn_act
1.0,9.012882849585948,6.4642424519784525,0.0,0.0,-2.39741235653855e-09,0.0,0.0,4.062344424128734,-17.0326683567,0.0,0.0,2.401898027849718,0.0,-9.163644647455646e-09,0.0,0.07400636472079689,-0.008385177636705238,0.2435621487539447,0.0,0.0,0.0
2.0,9.012881380056548,6.464242458996384,0.0,0.0,-5.1221098485916445e-09,0.0,0.0,4.06234442039608,-17.0326683567,0.0,0.0,2.4018980386003035,0.0,-1.957827656252534e-08,0.0,0.0740063647857363,-0.008385177831898863,0.24356214965663098,0.0,0.0,0.0
3.0,9.012879924684551,6.46424246303253,0.0,0.0,-8.170075951884772e-09,0.0,0.0,4.062344413776758,-17.0326683567,0.0,0.0,2.401898049255772,0.0,-3.1228543916530814e-08,0.0,0.07400636483177755,-0.008385178104407559,0.24356215057943859,0.0,0.0,0.0
4.0,9.012878483345284,6.464242463769822,0.0,0.0,-1.1537271592102036e-08,0.0,0.0,4.062344403949518,-17.0326683567,0.0,0.0,2.4018980598203044,0.0,-4.4099008666584336e-08,0.0,0.07400636485668555,-0.008385178458295978,0.24356215151403676,0.0,0.0,0.0
5.0,9.012877055916613,6.464242460895399,0.0,0.0,-1.521963526452592e-08,0.0,0.0,4.062344390597159,-17.0326683567,0.0,0.0,2.40189807029824,0.0,-5.8174147013214176e-08,0.0,0.07400636485825449,-0.008385178897566598,0.24356215245218465,0.0,0.0,0.0
6.0,9.012875642278896,6.4642424541006305,0.0,0.0,-1.92130831732559e-08,0.0,0.0,4.062344373406552,-17.0326683567,0.0,0.0,2.401898080694078,0.0,-7.343834993281983e-08,0.0,0.07400636483430792,-0.008385179426159364,0.24356215338573173,0.0,0.0,0.0
7.0,9.012874242314945,6.4642424430811385,0.0,0.0,-2.3513509380087768e-08,0.0,0.0,4.062344352068666,-17.0326683567,0.0,0.0,2.4018980910124723,0.0,-8.987592374704718e-08,0.0,0.07400636478269892,-0.00838518004795158,0.24356215430661843,0.0,0.0,0.0
8.0,9.012872855909984,6.464242427536814,0.0,0.0,-2.8116785966157415e-08,0.0,0.0,4.062344326278583,-17.0326683567,0.0,0.0,2.401898101258231,0.0,-1.0747109074094732e-07,0.0,0.07400636470131022,-0.008385180766757414,0.2435621552068764,0.0,0.0,0.0
9.0,9.012871482951608,6.46424240717184,0.0,0.0,-3.301876320971725e-08,0.0,0.0,4.062344295735527,-17.0326683567,0.0,0.0,2.4018981114363127,0.0,-1.2620798984279347e-07,0.0,0.07400636458805435,-0.008385181586327839,0.2435621560786295,0.0,0.0,0.0
10.0,9.01287012332974,6.464242381694705,0.0,0.0,-3.82152697738792e-08,0.0,0.0,4.06234426014288,-17.0326683567,0.0,0.0,2.4018981215518247,0.0,-1.4607067734198762e-07,0.0,0.0740063644408737,-0.008385182510350336,0.2435621569140935,0.0,0.0,0.0
