,V(m/s),alpha(deg),beta(deg),p(deg/s),q(deg/s),r(deg/s),phi(deg),theta(deg),elevator(deg),aileron(deg),rudder(deg),gamma(deg),pb,qc,rb,CD_act,CL_act,Cm_act,CY_act,Cr_act,Cn_act
1.0,11.727668182483677,-7.164650403775457,0.0,0.0,-1.9965080240689763e-09,0.0,0.0,-6.66882759593698,23.7982093032,0.0,0.0,-0.49582280783847654,0.0,-5.864738016028189e-09,0.0,0.04364543153960415,0.005486344533326568,-0.26036283290128837,0.0,0.0,0.0
2.0,11.72766671011913,-7.164650415732549,0.0,0.0,-3.530266354512644e-09,0.0,0.0,-6.668827598738766,23.7982093032,0.0,0.0,-0.4958228169937824,0.0,-1.0370151106700848e-08,0.0,0.04364543159666942,0.005486344256052281,-0.26036283288392803,0.0,0.0,0.0
3.0,11.727665248615015,-7.1646504289118305,0.0,0.0,-4.605195615955007e-09,0.0,0.0,-6.668827602844569,23.7982093032,0.0,0.0,-0.49582282606726125,0.0,-1.3527755576787608e-08,0.0,0.04364543166248223,0.005486343999559051,-0.26036283299097185,0.0,0.0,0.0
4.0,11.727663797883178,-7.164650442858069,0.0,0.0,-5.22522372898134e-09,0.0,0.0,-6.668827607797524,23.7982093032,0.0,0.0,-0.4958228350605456,0.0,-1.5349089176302823e-08,0.0,0.04364543173457489,0.005486343769430399,-0.2603628332103069,0.0,0.0,0.0
5.0,11.727662357838613,-7.164650457120254,0.0,0.0,-5.394286593115623e-09,0.0,0.0,-6.668827613144695,23.7982093032,0.0,0.0,-0.4958228439755583,0.0,-1.584571310655314e-08,0.0,0.04364543181050245,0.005486343571194374,-0.2603628335299235,0.0,0.0,0.0
6.0,11.72766092839941,-7.1646504712515995,0.0,0.0,-5.116328748642976e-09,0.0,0.0,-6.66882761843709,23.7982093032,0.0,0.0,-0.4958228528145092,0.0,-1.502921396405056e-08,0.0,0.043645431887842576,0.005486343410323752,-0.2603628339379152,0.0,0.0,0.0
7.0,11.727659509486719,-7.164650484809554,0.0,0.0,-4.395304025796783e-09,0.0,0.0,-6.668827623229664,23.7982093032,0.0,0.0,-0.49582286157989053,0.0,-1.2911205647317284e-08,0.0,0.043645431964195715,0.00548634329223556,-0.2603628344224786,0.0,0.0,0.0
8.0,11.727658101024689,-7.1646504973558045,0.0,0.0,-3.2351761751976317e-09,0.0,0.0,-6.66882762708133,23.7982093032,0.0,0.0,-0.49582287027447425,0.0,-9.50333120862557e-09,0.0,0.04364543203718505,0.005486343222291287,-0.26036283497191376,0.0,0.0,0.0
9.0,11.727656702940436,-7.164650508456283,0.0,0.0,-1.6399194828400132e-09,0.0,0.0,-6.668827629554973,23.7982093032,0.0,0.0,-0.4958228789013104,0.0,-4.817264660353982e-09,0.0,0.04364543210445656,0.005486343205796454,-0.26036283557462403,0.0,0.0,0.0
10.0,11.727655315163991,-7.164650517681178,0.0,0.0,3.8648063187477343e-10,0.0,0.0,-6.6688276302174545,23.7982093032,0.0,0.0,-0.4958228874637234,0.0,1.1352872684508778e-09,0.0,0.04364543216367907,0.005486343248000652,-0.26036283621911605,0.0,0.0,0.0
11.0,11.727653937628258,-7.16465052460494,0.0,0.0,2.8400270336064454e-09,0.0,0.0,-6.6688276286396295,23.7982093032,0.0,0.0,-0.4958228959653104,0.0,8.342583421039154e-09,0.0,0.043645432212544265,0.005486343354097284,-0.2603628368940001,0.0,0.0,0.0
12.0,11.727652570268969,-7.164650528806293,0.0,0.0,5.716710308346945e-09,0.0,0.0,-6.6688276243963545,23.7982093032,0.0,0.0,-0.4958229044099385,0.0,1.6792846560088328e-08,0.0,0.04364543224876678,0.005486343529223461,-0.2603628375879899,0.0,0.0,0.0
13.0,11.727651213024636,-7.164650529868243,0.0,0.0,9.012508210215004e-09,0.0,0.0,-6.668827617066503,23.7982093032,0.0,0.0,-0.4958229128017395,0.0,2.647426174280228e-08,0.0,0.043645432270084224,0.005486343778459746,-0.26036283828990314,0.0,0.0,0.0
14.0,11.727649865836515,-7.164650527378087,0.0,0.0,1.2723385131362556e-08,0.0,0.0,-6.668827606232978,23.7982093032,0.0,0.0,-0.49582292114510906,0.0,3.737497476389532e-08,0.0,0.04364543227425721,0.005486344106830063,-0.2603628389886611,0.0,0.0,0.0
15.0,11.727648528648555,-7.1646505209274265,0.0,0.0,1.6845291584274532e-08,0.0,0.0,-6.668827591482723,23.7982093032,0.0,0.0,-0.49582292944470385,0.0,4.9483090634975856e-08,0.0,0.04364543225906948,0.0054863445193015226,-0.26036283967328944,0.0,0.0,0.0
16.0,11.727647201407354,-7.164650510112177,0.0,0.0,2.13741637004262e-08,0.0,0.0,-6.668827572406739,23.7982093032,0.0,0.0,-0.49582293770543817,0.0,6.278667211197482e-08,0.0,0.04364543222232786,0.005486345020784086,-0.2603628403329177,0.0,0.0,0.0
17.0,11.727645884062126,-7.164650494532582,0.0,0.0,2.6305922745661453e-08,0.0,0.0,-6.6688275486001,23.7982093032,0.0,0.0,-0.4958229459324821,0.0,7.727373827168641e-08,0.0,0.04364543216186244,0.005486345616130678,-0.2603628409567801,0.0,0.0,0.0
18.0,11.727644576564645,-7.164650473793221,0.0,0.0,3.163647465337798e-08,0.0,0.0,-6.668827519661963,23.7982093032,0.0,0.0,-0.495822954131258,0.0,9.293226314061155e-08,0.0,0.043645432075526534,0.005486346310136614,-0.2603628415342153,0.0,0.0,0.0
19.0,11.727643278869209,-7.164650447503024,0.0,0.0,3.736170956812423e-08,0.0,0.0,-6.668827485195589,23.7982093032,0.0,0.0,-0.49582296230743506,0.0,1.0975017435438098e-07,0.0,0.043645431961196815,0.005486347107539674,-0.2603628420546669,0.0,0.0,0.0
