,V(m/s),alpha(deg),beta(deg),p(deg/s),q(deg/s),r(deg/s),phi(deg),theta(deg),elevator(deg),aileron(deg),rudder(deg),gamma(deg),pb,qc,rb,CD_act,CL_act,Cm_act,CY_act,Cr_act,Cn_act
1.0,13.252310444788348,-5.211853948210529,0.0,0.0,-2.0469733378705637e-09,0.0,0.0,-6.104079763755186,16.8967048267,0.0,0.0,0.8922258155446565,0.0,-5.321202803347637e-09,0.0,0.034307101951298026,0.0031293473591124527,-0.1873428341393275,0.0,0.0,0.0
2.0,13.252308965174858,-5.211853957025875,0.0,0.0,-3.7150370717198826e-09,0.0,0.0,-6.104079766667643,16.8967048267,0.0,0.0,0.8922258096417677,0.0,-9.65741347089558e-09,0.0,0.034307101970413624,0.003129347129539453,-0.18734283404450022,0.0,0.0,0.0
3.0,13.252307495286436,-5.211853967268941,0.0,0.0,-5.007158305106898e-09,0.0,0.0,-6.104079771059945,16.8967048267,0.0,0.0,0.8922258037910042,0.0,-1.3016344789183773e-08,0.0,0.03430710199554303,0.0031293469046888706,-0.1873428340484399,0.0,0.0,0.0
4.0,13.252306035051955,-5.211853978565887,0.0,0.0,-5.926303858300332e-09,0.0,0.0,-6.104079776557634,16.8967048267,0.0,0.0,0.8922257979917472,0.0,-1.540570881614462e-08,0.0,0.03430710202554273,0.003129346689516116,-0.18734283414214875,0.0,0.0,0.0
5.0,13.252304584402236,-5.211853990546126,0.0,0.0,-6.475440643806925e-09,0.0,0.0,-6.104079782789216,16.8967048267,0.0,0.0,0.8922257922430905,0.0,-1.683321785719513e-08,0.0,0.034307102059279046,0.003129346488931775,-0.18734283431670284,0.0,0.0,0.0
6.0,13.252303143270016,-5.2118540028423235,0.0,0.0,-6.657536038963473e-09,0.0,0.0,-6.104079789386168,16.8967048267,0.0,0.0,0.8922257865438441,0.0,-1.7306585433699855e-08,0.0,0.03430710209562813,0.003129346307801692,-0.18734283456325174,0.0,0.0,0.0
7.0,13.25230171158993,-5.2118540150903945,0.0,0.0,-6.475558246927269e-09,0.0,0.0,-6.104079795982931,16.8967048267,0.0,0.0,0.8922257808925362,0.0,-1.683352722127848e-08,0.0,0.03430710213347593,0.003129346150946788,-0.1873428348730186,0.0,0.0,0.0
8.0,13.252300289298475,-5.211854026929503,0.0,0.0,-5.932476651856127e-09,0.0,0.0,-6.1040798022169165,16.8967048267,0.0,0.0,0.8922257752874136,0.0,-1.5421761973012333e-08,0.0,0.034307102171718236,0.003129346023143284,-0.18734283523729994,0.0,0.0,0.0
9.0,13.252298876333997,-5.211854038002059,0.0,0.0,-5.031262165342261e-09,0.0,0.0,-6.104079807728507,16.8967048267,0.0,0.0,0.8922257697264477,0.0,-1.3079012419918243e-08,0.0,0.03430710220926064,0.00312934592912259,-0.18734283564746568,0.0,0.0,0.0
10.0,13.252297472636657,-5.21185404795372,0.0,0.0,-3.774887565676974e-09,0.0,0.0,-6.104079812161054,16.8967048267,0.0,0.0,0.8922257642073346,0.0,-9.813006152788859e-09,0.0,0.03430710224501853,0.0031293458735711516,-0.187342836094959,0.0,0.0,0.0
11.0,13.252296078148412,-5.211854056433387,0.0,0.0,-2.1663278320827617e-09,0.0,0.0,-6.104079815160887,16.8967048267,0.0,0.0,0.8922257587275002,0.0,-5.631476490953734e-09,0.0,0.0343071022779171,0.0031293458611307695,-0.1873428365712961,0.0,0.0,0.0
12.0,13.252294692812985,-5.211854063093208,0.0,0.0,-2.0856046630777033e-10,0.0,0.0,-6.104079816377308,16.8967048267,0.0,0.0,0.8922257532840998,0.0,-5.421633181911676e-10,0.0,0.03430710230689136,0.0031293458963982806,-0.18734283706806648,0.0,0.0,0.0
13.0,13.252293316575846,-5.211854067588575,0.0,0.0,2.0954341879581617e-09,0.0,0.0,-6.104079815462598,16.8967048267,0.0,0.0,0.892225747874023,0.0,5.447186087019894e-09,0.0,0.034307102330886075,0.0031293459839256688,-0.18734283757693265,0.0,0.0,0.0
14.0,13.252291949384189,-5.211854069578129,0.0,0.0,4.742672635755166e-09,0.0,0.0,-6.104079812072024,16.8967048267,0.0,0.0,0.8922257424938955,0.0,1.2328816247468628e-08,0.0,0.03430710234885585,0.0031293461282200785,-0.18734283808963004,0.0,0.0,0.0
15.0,13.252290591186897,-5.211854068723754,0.0,0.0,7.730167928117397e-09,0.0,0.0,-6.104079805863834,16.8967048267,0.0,0.0,0.8922257371400804,0.0,2.009496270031562e-08,0.0,0.03430710235976508,0.0031293463337435656,-0.18734283859796713,0.0,0.0,0.0
16.0,13.252289241934532,-5.211854064690583,0.0,0.0,1.1054929365943832e-08,0.0,0.0,-6.104079796499266,16.8967048267,0.0,0.0,0.8922257318086828,0.0,2.8737851227368076e-08,0.0,0.034307102362587945,0.0031293466049134022,-0.18734283909382543,0.0,0.0,0.0
17.0,13.252287901579303,-5.211854057147,0.0,0.0,1.4713962213941542e-08,0.0,0.0,-6.104079783642551,16.8967048267,0.0,0.0,0.8922257264955515,0.0,3.8249697111536367e-08,0.0,0.034307102356308454,0.003129346946101716,-0.1873428395691593,0.0,0.0,0.0
18.0,13.252286570075043,-5.211854045764636,0.0,0.0,1.870426741825599e-08,0.0,0.0,-6.1040797669609175,16.8967048267,0.0,0.0,0.8922257211962812,0.0,4.862270440287273e-08,0.0,0.03430710233992039,0.003129347361635726,-0.18734284001599597,0.0,0.0,0.0
19.0,13.25228524737719,-5.211854030218378,0.0,0.0,2.3022841332355055e-08,0.0,0.0,-6.104079746124594,16.8967048267,0.0,0.0,0.8922257159062159,0.0,5.984906520606357e-08,0.0,0.03430710231242737,0.0031293478557974375,-0.18734284042643565,0.0,0.0,0.0
20.0,13.252283933442756,-5.2118540101863635,0.0,0.0,2.7666675453147176e-08,0.0,0.0,-6.104079720806815,16.8967048267,0.0,0.0,0.8922257106204512,0.0,7.19209589945236e-08,0.0,0.03430710227284283,0.0031293484328238363,-0.18734284079265145,0.0,0.0,0.0
21.0,13.252282628230315,-5.211853985349991,0.0,0.0,3.2632756158849965e-08,0.0,0.0,-6.104079690683827,16.8967048267,0.0,0.0,0.8922257053338365,0.0,8.483055192903812e-08,0.0,0.03430710222019002,0.003129349096906625,-0.18734284110688937,0.0,0.0,0.0
22.0,13.252281331699967,-5.211853955393915,0.0,0.0,3.7918064457361193e-08,0.0,0.0,-6.1040796554348935,16.8967048267,0.0,0.0,0.8922257000409788,0.0,9.856999620370475e-08,0.0,0.03430710215350202,0.0031293498521923757,-0.1873428413614684,0.0,0.0,0.0
23.0,13.252280043813325,-5.211853920006054,0.0,0.0,4.351957574288735e-08,0.0,0.0,-6.1040796147422975,16.8967048267,0.0,0.0,0.8922256947362435,0.0,1.1313142941333909e-07,0.0,0.03430710207182172,0.0031293507027823214,-0.1873428415487804,0.0,0.0,0.0
24.0,13.25227876453349,-5.211853878877593,0.0,0.0,4.943425955608341e-08,0.0,0.0,-6.104079568291351,16.8967048267,0.0,0.0,0.8922256894137579,0.0,1.285069739300057e-07,0.0,0.03430710197420193,0.003129351652732315,-0.18734284166129028,0.0,0.0,0.0
25.0,13.252277493825025,-5.211853831702986,0.0,0.0,5.565907935380488e-08,0.0,0.0,-6.1040795157704,16.8967048267,0.0,0.0,0.8922256840674141,0.0,1.446887363045354e-07,0.0,0.03430710185970523,0.003129352706052871,-0.18734284169153598,0.0,0.0,0.0
26.0,13.252276231653935,-5.211853778179957,0.0,0.0,6.219099228468568e-08,0.0,0.0,-6.104079456870829,16.8967048267,0.0,0.0,0.8922256786908713,0.0,1.616688066831846e-07,0.0,0.034307101727404136,0.003129353866708956,-0.18734284163212847,0.0,0.0,0.0
27.0,13.252274977987648,-5.211853718009509,0.0,0.0,6.902694897153584e-08,0.0,0.0,-6.104079391287068,16.8967048267,0.0,0.0,0.8922256732775589,0.0,1.7943925824202186e-07,0.0,0.034307101576380956,0.003129355138620088,-0.18734284147575184,0.0,0.0,0.0
28.0,13.252273732794984,-5.211853650895924,0.0,0.0,7.616389330192978e-08,0.0,0.0,-6.104079318716602,16.8967048267,0.0,0.0,0.8922256678206777,0.0,1.9799214664260458e-07,0.0,0.034307101405727985,0.003129356525660071,-0.1873428412151633,0.0,0.0,0.0
29.0,13.252272496046144,-5.211853576546769,0.0,0.0,8.35987622252375e-08,0.0,0.0,-6.104079238859973,16.8967048267,0.0,0.0,0.8922256623132041,0.0,2.1731950950440254e-07,0.0,0.03430710121454733,0.003129358031657148,-0.18734284084319347,0.0,0.0,0.0
30.0,13.25227126771268,-5.211853494672899,0.0,0.0,9.132848555308936e-08,0.0,0.0,-6.104079151420792,16.8967048267,0.0,0.0,0.8922256567478932,0.0,2.3741336588614587e-07,0.0,0.03430710100195104,0.00312935966039371,-0.1873428403527459,0.0,0.0,0.0
31.0,13.252270047767476,-5.211853404988463,0.0,0.0,9.93499857737652e-08,0.0,0.0,-6.104079056105743,16.8967048267,0.0,0.0,0.8922256511172799,0.0,2.582657158033688e-07,0.0,0.0343071007670611,0.003129361415606366,-0.18734283973679788,0.0,0.0,0.0
32.0,13.252268836184726,-5.21185330721091,0.0,0.0,1.0766017786798275e-07,0.0,0.0,-6.10407895262459,16.8967048267,0.0,0.0,0.8922256454136805,0.0,2.7986853974958914e-07,0.0,0.03430710050900943,0.003129363300985802,-0.1873428389883999,0.0,0.0,0.0
33.0,13.25226763293991,-5.211853201060989,0.0,0.0,1.1625596913064206e-07,0.0,0.0,-6.104078840690187,16.8967048267,0.0,0.0,0.8922256396291983,0.0,3.0221379823296986e-07,0.0,0.03430710022693787,0.003129365320176755,-0.18734283810067603,0.0,0.0,0.0
34.0,13.25226643800978,-5.211853086262759,0.0,0.0,1.251342590047425e-07,0.0,0.0,-6.104078720018485,16.8967048267,0.0,0.0,0.8922256337557259,0.0,3.252934313446226e-07,0.0,0.03430709991999826,0.003129367476777889,-0.18734283706682392,0.0,0.0,0.0
35.0,13.252265251372332,-5.2118529625435945,0.0,0.0,1.3429193891568881e-07,0.0,0.0,-6.104078590328539,16.8967048267,0.0,0.0,0.8922256277849447,0.0,3.4909935832792057e-07,0.0,0.0343070995873524,0.003129369774341667,-0.18734283588011502,0.0,0.0,0.0
36.0,13.252264073006787,-5.211852829634186,0.0,0.0,1.4372589211696017e-07,0.0,0.0,-6.104078451342517,16.8967048267,0.0,0.0,0.8922256217083309,0.0,3.7362347717735085e-07,0.0,0.03430709922817211,0.0031293722163743543,-0.18734283453389441,0.0,0.0,0.0
37.0,13.252262902893568,-5.211852687268549,0.0,0.0,1.534329935407436e-07,0.0,0.0,-6.104078302785705,16.8967048267,0.0,0.0,0.8922256155171562,0.0,3.9885766425026897e-07,0.0,0.03430709884163919,0.003129374806335933,-0.1873428330215811,0.0,0.0,0.0
38.0,13.252261741014284,-5.211852535184031,0.0,0.0,1.634101096546866e-07,0.0,0.0,-6.104078144386524,16.8967048267,0.0,0.0,0.8922256092024936,0.0,4.2479377389456035e-07,0.0,0.03430709842694548,0.003129377547639922,-0.18734283133666824,0.0,0.0,0.0
39.0,13.252260587351701,-5.211852373121314,0.0,0.0,1.7365409832483376e-07,0.0,0.0,-6.104077975876528,16.8967048267,0.0,0.0,0.8922256027552145,0.0,4.514236380923768e-07,0.0,0.03430709798329288,0.003129380443653365,-0.18734282947272285,0.0,0.0,0.0
40.0,13.25225944188973,-5.211852200824423,0.0,0.0,1.8416180868777325e-07,0.0,0.0,-6.10407779699042,16.8967048267,0.0,0.0,0.8922255961659964,0.0,4.787390661278135e-07,0.0,0.03430709750989336,0.003129383497696689,-0.1873428274233863,0.0,0.0,0.0
41.0,13.252258304613404,-5.211852018040732,0.0,0.0,1.949300810266683e-07,0.0,0.0,-6.104077607466056,16.8967048267,0.0,0.0,0.8922255894253244,0.0,5.067318442646839e-07,0.0,0.034307097005968935,0.0031293867130437053,-0.18734282518237427,0.0,0.0,0.0
42.0,13.252257175508852,-5.211851824520967,0.0,0.0,2.0595574665525969e-07,0.0,0.0,-6.10407740704446,16.8967048267,0.0,0.0,0.8922255825234924,0.0,5.353937354450157e-07,0.0,0.03430709647075176,0.0031293900929214163,-0.18734282274347686,0.0,0.0,0.0
43.0,13.252256054563286,-5.211851620019218,0.0,0.0,2.172356278058804e-07,0.0,0.0,-6.1040771954698245,16.8967048267,0.0,0.0,0.8922255754506061,0.0,5.647164789979754e-07,0.0,0.03430709590348409,0.003129393640509931,-0.1873428201005588,0.0,0.0,0.0
44.0,13.252254941764978,-5.21185140429294,0.0,0.0,2.28766537527228e-07,0.0,0.0,-6.104076972489528,16.8967048267,0.0,0.0,0.8922255681965883,0.0,5.946917903741586e-07,0.0,0.03430709530341831,0.0031293973589423957,-0.18734281724755947,0.0,0.0,0.0
45.0,13.252253837103236,-5.211851177102962,0.0,0.0,2.4054527958619137e-07,0.0,0.0,-6.104076737854139,16.8967048267,0.0,0.0,0.8922255607511769,0.0,6.253113608904183e-07,0.0,0.03430709466981697,0.0031294012513049807,-0.18734281417849313,0.0,0.0,0.0
