,V(m/s),alpha(deg),beta(deg),p(deg/s),q(deg/s),r(deg/s),phi(deg),theta(deg),elevator(deg),aileron(deg),rudder(deg),gamma(deg),pb,qc,rb,CD_act,CL_act,Cm_act,CY_act,Cr_act,Cn_act
1.0,13.788715270493146,-4.280224218368359,0.0,0.0,-2.0776067426995608e-09,0.0,0.0,-5.382355464665909,13.536795675,0.0,0.0,1.1021312462975494,0.0,-5.190733935826647e-09,0.0,0.03173261984830922,0.0023749732357382786,-0.15345823883509135,0.0,0.0,0.0
2.0,13.788713788334887,-4.280224226009943,0.0,0.0,-3.831184854051256e-09,0.0,0.0,-5.382355467647204,13.536795675,0.0,0.0,1.1021312416372613,0.0,-9.571909334554698e-09,0.0,0.031732619862591446,0.0023749730257926135,-0.1534582387160457,0.0,0.0,0.0
3.0,13.788712315557245,-4.280224235201824,0.0,0.0,-5.263209451777901e-09,0.0,0.0,-5.382355472221095,13.536795675,0.0,0.0,1.1021312370192708,0.0,-1.3149709810768585e-08,0.0,0.03173261988218555,0.002374972813371151,-0.15345823868573075,0.0,0.0,0.0
4.0,13.788710852093894,-4.280224245623808,0.0,0.0,-6.376151179181636e-09,0.0,0.0,-5.382355478067263,13.536795675,0.0,0.0,1.1021312324434547,0.0,-1.5930307806073908e-08,0.0,0.031732619906222365,0.0023749726027725085,-0.15345823873647713,0.0,0.0,0.0
5.0,13.788709397880144,-4.280224256958429,0.0,0.0,-7.172476519376165e-09,0.0,0.0,-5.382355484867858,13.536795675,0.0,0.0,1.102131227909429,0.0,-1.791986537409342e-08,0.0,0.03173261993384006,0.0023749723982577145,-0.1534582388606779,0.0,0.0,0.0
6.0,13.788707952852915,-4.280224268890941,0.0,0.0,-7.654648100581731e-09,0.0,0.0,-5.382355492307497,13.536795675,0.0,0.0,1.1021312234165563,0.0,-1.9124534943136565e-08,0.0,0.03173261996418412,0.002374972204050259,-0.1534582390507883,0.0,0.0,0.0
7.0,13.788706516950716,-4.280224281109313,0.0,0.0,-7.825124998616672e-09,0.0,0.0,-5.382355500073256,13.536795675,0.0,0.0,1.102131218963943,0.0,-1.9550460071867514e-08,0.0,0.031732619996407356,0.0023749720243361055,-0.1534582392993259,0.0,0.0,0.0
8.0,13.78870509011363,-4.280224293304224,0.0,0.0,-7.686363031339089e-09,0.0,0.0,-5.382355507854668,13.536795675,0.0,0.0,1.102131214550444,0.0,-1.92037761848636e-08,0.0,0.03173262002966986,0.0023749718632638875,-0.1534582395988701,0.0,0.0,0.0
9.0,13.788703672283289,-4.280224305169057,0.0,0.0,-7.240815050107837e-09,0.0,0.0,-5.38235551534372,13.536795675,0.0,0.0,1.1021312101746634,0.0,-1.8090611300729252e-08,0.0,0.031732620063139025,0.0023749717249447744,-0.15345823994206215,0.0,0.0,0.0
10.0,13.788702263402854,-4.2802243163998925,0.0,0.0,-6.490931225762723e-09,0.0,0.0,-5.382355522234852,13.536795675,0.0,0.0,1.1021312058349597,0.0,-1.621708674651892e-08,0.0,0.03173262009598946,0.002374971613452688,-0.15345824032160488,0.0,0.0,0.0
