,V(m/s),alpha(deg),beta(deg),p(deg/s),q(deg/s),r(deg/s),phi(deg),theta(deg),elevator(deg),aileron(deg),rudder(deg),gamma(deg),pb,qc,rb,CD_act,CL_act,Cm_act,CY_act,Cr_act,Cn_act
1.0,14.323065901704801,-3.1447835480071347,0.0,0.0,-2.119191704208832e-09,0.0,0.0,-4.18505366158026,9.4119203179,0.0,0.0,1.0402701135731252,0.0,-5.09710384012858e-09,0.0,0.02944692978347168,0.0016178733442836768,-0.11204705729721931,0.0,0.0,0.0
2.0,14.32306441713551,-3.1447835543781877,0.0,0.0,-3.99134466956646e-09,0.0,0.0,-4.185053664656038,9.4119203179,0.0,0.0,1.04027011027785,0.0,-9.60002830833206e-09,0.0,0.029446929793242562,0.0016178731550304387,-0.1120470571480705,0.0,0.0,0.0
3.0,14.323062941629079,-3.144783562466341,0.0,0.0,-5.6182991531368886e-09,0.0,0.0,-4.185053669481216,9.4119203179,0.0,0.0,1.0402701070148752,0.0,-1.3513199419310221e-08,0.0,0.02944692980753725,0.0016178729547925708,-0.11204705707629042,0.0,0.0,0.0
4.0,14.323061475123687,-3.144783572026823,0.0,0.0,-7.0018885774540315e-09,0.0,0.0,-4.185053675811514,9.4119203179,0.0,0.0,1.040270103784691,0.0,-1.684102675340981e-08,0.0,0.029446929825794377,0.0016178727469037882,-0.11204705707604351,0.0,0.0,0.0
5.0,14.323060017558738,-3.144783582816901,0.0,0.0,-8.143939743306123e-09,0.0,0.0,-4.1850536834044805,9.4119203179,0.0,0.0,1.0402701005875796,0.0,-1.958790396835293e-08,0.0,0.029446929847457236,0.0016178725346696135,-0.11204705714154131,0.0,0.0,0.0
6.0,14.323058568874844,-3.1447835945958698,0.0,0.0,-9.046273039692424e-09,0.0,0.0,-4.185053692019488,9.4119203179,0.0,0.0,1.040270097423618,0.0,-2.175820930416578e-08,0.0,0.029446929871973754,0.0016178723213674667,-0.11204705726704245,0.0,0.0,0.0
7.0,14.323057129013801,-3.1447836071250475,0.0,0.0,-9.710702651250956e-09,0.0,0.0,-4.185053701417726,9.4119203179,0.0,0.0,1.0402700942926781,0.0,-2.3356306082026316e-08,0.0,0.029446929898796464,0.0016178721102467417,-0.11204705744685237,0.0,0.0,0.0
8.0,14.323055697918587,-3.144783620167766,0.0,0.0,-1.0139036762420077e-08,0.0,0.0,-4.185053711362195,9.4119203179,0.0,0.0,1.040270091194429,0.0,-2.438654319525757e-08,0.0,0.029446929927382497,0.00161787190452891,-0.11204705767532303,0.0,0.0,0.0
9.0,14.323054275533343,-3.1447836334893626,0.0,0.0,-1.0333077758660584e-08,0.0,0.0,-4.1850537216177015,9.4119203179,0.0,0.0,1.0402700881283389,0.0,-2.4853255593252426e-08,0.0,0.02944692995719357,0.0016178717074076462,-0.1120470579468528,0.0,0.0,0.0
10.0,14.323052861803358,-3.144783646857174,0.0,0.0,-1.0294622424933096e-08,0.0,0.0,-4.185053731950852,9.4119203179,0.0,0.0,1.040270085093678,0.0,-2.4760764758798263e-08,0.0,0.029446929987695953,0.001617871522048897,-0.11204705825588629,0.0,0.0,0.0
11.0,14.323051456675055,-3.1447836600405275,0.0,0.0,-1.0025462140836683e-08,0.0,0.0,-4.185053742130045,9.4119203179,0.0,0.0,1.0402700820895179,0.0,-2.4113379177372548e-08,0.0,0.02944693001836045,0.0016178713515909784,-0.112047058596914,0.0,0.0,0.0
12.0,14.323050060095978,-3.144783672810736,0.0,0.0,-9.527383074510644e-09,0.0,0.0,-4.18505375192547,9.4119203179,0.0,0.0,1.0402700791147343,0.0,-2.291539480346495e-08,0.0,0.029446930048662417,0.0016178711991446451,-0.11204705896447231,0.0,0.0,0.0
13.0,14.323048672014783,-3.1447836849410895,0.0,0.0,-8.802166371932367e-09,0.0,0.0,-4.185053761109099,9.4119203179,0.0,0.0,1.0402700761680097,0.0,-2.1171095515827423e-08,0.0,0.029446930078081697,0.0016178710677932223,-0.11204705935314316,0.0,0.0,0.0
14.0,14.323047292381215,-3.1447836962068494,0.0,0.0,-7.851588343131575e-09,0.0,0.0,-4.185053769454683,9.4119203179,0.0,0.0,1.0402700732478336,0.0,-1.8884753565308807e-08,0.0,0.029446930106102637,0.0016178709605926336,-0.112047059757554,0.0,0.0,0.0
15.0,14.3230459211461,-3.1447837063852413,0.0,0.0,-6.677420647271633e-09,0.0,0.0,-4.185053776737746,9.4119203179,0.0,0.0,1.0402700703525047,0.0,-1.6060630019965803e-08,0.0,0.029446930132214066,0.001617870880571519,-0.11204706017237742,0.0,0.0,0.0
