,V(m/s),alpha(deg),beta(deg),p(deg/s),q(deg/s),r(deg/s),phi(deg),theta(deg),elevator(deg),aileron(deg),rudder(deg),gamma(deg),pb,qc,rb,CD_act,CL_act,Cm_act,CY_act,Cr_act,Cn_act
1.0,11.817419507098636,-7.057816555570249,0.0,0.0,-1.9988502486159408e-09,0.0,0.0,-6.664337864237846,23.4303699249,0.0,0.0,-0.3934786913324029,0.0,-5.827024336696793e-09,0.0,0.042994989970570795,0.005323166003315727,-0.25625943510709404,0.0,0.0,0.0
2.0,11.817418034272041,-7.0578165673283975,0.0,0.0,-3.538584461833173e-09,0.0,0.0,-6.6643378670446625,23.4303699249,0.0,0.0,-0.393478700283735,0.0,-1.0315640384102076e-08,0.0,0.0429949900260005,0.005323165729121768,-0.256259435085707,0.0,0.0,0.0
3.0,11.817416572229877,-7.057816580318551,0.0,0.0,-4.623073929012642e-09,0.0,0.0,-6.6643378711632675,23.4303699249,0.0,0.0,-0.3934787091552838,0.0,-1.3477133168745796e-08,0.0,0.04299499009019914,0.005323165474832706,-0.25625943518736966,0.0,0.0,0.0
4.0,11.81741512088499,-7.057816594088984,0.0,0.0,-5.256196425124122e-09,0.0,0.0,-6.664337876140355,23.4303699249,0.0,0.0,-0.39347871794862943,0.0,-1.5322806636919214e-08,0.0,0.04299499016073452,0.0053231652460108275,-0.25625943540009555,0.0,0.0,0.0
5.0,11.817413680153356,-7.05781660819214,0.0,0.0,-5.441836898449582e-09,0.0,0.0,-6.6643378815264995,23.4303699249,0.0,0.0,-0.39347872666564054,0.0,-1.5863985659267813e-08,0.0,0.04299499023519667,0.005323165048163506,-0.25625943571199983,0.0,0.0,0.0
6.0,11.817412249954042,-7.057816622184641,0.0,0.0,-5.183888137158356e-09,0.0,0.0,-6.664337886876165,23.4303699249,0.0,0.0,-0.39347873530847544,0.0,-1.5112017973799626e-08,0.0,0.0429949903111979,0.005323164886743406,-0.2562594361113001,0.0,0.0,0.0
7.0,11.817410830209157,-7.057816635627288,0.0,0.0,-4.486251422340198e-09,0.0,0.0,-6.664337891747713,23.4303699249,0.0,0.0,-0.3934787438795748,0.0,-1.3078276089423594e-08,0.0,0.04299499038637284,0.005323164767148031,-0.2562594365863153,0.0,0.0,0.0
8.0,11.81740942084381,-7.057816648085069,0.0,0.0,-3.352837162017686e-09,0.0,0.0,-6.664337895703409,23.4303699249,0.0,0.0,-0.3934787523816601,0.0,-9.774159134046636e-09,0.0,0.04299499045837841,0.005323164694719967,-0.2562594371254668,0.0,0.0,0.0
9.0,11.817408021786056,-7.057816659127169,0.0,0.0,-1.7875655135578723e-09,0.0,0.0,-6.664337898309435,23.4303699249,0.0,0.0,-0.39347876081773414,0.0,-5.211094668859661e-09,0.0,0.04299499052489392,0.005323164674746361,-0.2562594377172777,0.0,0.0,0.0
10.0,11.817406632966865,-7.05781666832697,0.0,0.0,2.0563301497402853e-10,0.0,0.0,-6.664337899135897,23.4303699249,0.0,0.0,-0.3934787691910726,0.0,5.994595587574164e-10,0.0,0.04299499058362107,0.0053231647124591525,-0.2562594383503733,0.0,0.0,0.0
11.0,11.817405254320065,-7.057816675262066,0.0,0.0,2.6228169760182094e-09,0.0,0.0,-6.664337897756839,23.4303699249,0.0,0.0,-0.3934787775052264,0.0,7.646013898930651e-09,0.0,0.04299499063228401,0.005323164813034562,-0.2562594390134808,0.0,0.0,0.0
12.0,11.817403885782303,-7.057816679514267,0.0,0.0,5.4600334124609975e-09,0.0,0.0,-6.664337893750251,23.4303699249,0.0,0.0,-0.3934787857640156,0.0,1.5917045137602948e-08,0.0,0.04299499066862932,0.00532316498159327,-0.2562594396954299,0.0,0.0,0.0
13.0,11.817402527293003,-7.057816680669609,0.0,0.0,8.713317302205143e-09,0.0,0.0,-6.664337886698083,23.4303699249,0.0,0.0,-0.39347879397152674,0.0,2.5400994877486632e-08,0.0,0.042994990690426164,0.005323165223200005,-0.2562594403851524,0.0,0.0,0.0
14.0,11.81740117879432,-7.057816678318366,0.0,0.0,1.2378691018453721e-08,0.0,0.0,-6.664337876186253,23.4303699249,0.0,0.0,-0.3934788021321127,0.0,3.608626796481824e-08,0.0,0.04299499069546624,0.005323165542863523,-0.2562594410716826,0.0,0.0,0.0
15.0,11.817399840231094,-7.057816672055054,0.0,0.0,1.6452163804400935e-08,0.0,0.0,-6.664337861804667,23.4303699249,0.0,0.0,-0.3934788102503868,0.0,4.7961230958106325e-08,0.0,0.042994990681563885,0.005323165945536348,-0.25625944174415743,0.0,0.0,0.0
16.0,11.817398511550813,-7.05781666147845,0.0,0.0,2.092973126897393e-08,0.0,0.0,-6.664337843147227,23.4303699249,0.0,0.0,-0.39347881833122234,0.0,6.10142106582416e-08,0.0,0.042994990646556104,0.005323166436114718,-0.2562594423918165,0.0,0.0,0.0
17.0,11.817397192703565,-7.057816646191594,0.0,0.0,2.5807374891515184e-08,0.0,0.0,-6.664337819811846,23.4303699249,0.0,0.0,-0.3934788263797486,0.0,7.523349266466515e-08,0.0,0.04299499058830264,0.005323167019438205,-0.2562594430040025,0.0,0.0,0.0
18.0,11.817395883641998,-7.057816625801809,0.0,0.0,3.108106154666109e-08,0.0,0.0,-6.664337791400462,23.4303699249,0.0,0.0,-0.3934788344013471,0.0,9.060731999040748e-08,0.0,0.04299499050468602,0.005323167700289774,-0.256259443570161,0.0,0.0,0.0
19.0,11.817394584321276,-7.057816599920706,0.0,0.0,3.674674304291658e-08,0.0,0.0,-6.664337757519057,23.4303699249,0.0,0.0,-0.3934788424016489,0.0,1.071238917170492e-07,0.0,0.04299499039361164,0.005323168483395341,-0.256259444079841,0.0,0.0,0.0
20.0,11.81739329469904,-7.0578165681642,0.0,0.0,4.28003556782433e-08,0.0,0.0,-6.6643377177776655,23.4303699249,0.0,0.0,-0.3934788503865345,0.0,1.2477136169927508e-07,0.0,0.0429949902530078,0.005323169373423753,-0.2562594445226951,0.0,0.0,0.0
